DateID,DatePeriod,MonthID
43831,2020-01-01,Y2020M1
43832,2020-01-02,Y2020M1
43833,2020-01-03,Y2020M1
43834,2020-01-04,Y2020M1
43835,2020-01-05,Y2020M1
43836,2020-01-06,Y2020M1
43837,2020-01-07,Y2020M1
43838,2020-01-08,Y2020M1
43839,2020-01-09,Y2020M1
43840,2020-01-10,Y2020M1
43841,2020-01-11,Y2020M1
43842,2020-01-12,Y2020M1
43843,2020-01-13,Y2020M1
43844,2020-01-14,Y2020M1
43845,2020-01-15,Y2020M1
43846,2020-01-16,Y2020M1
43847,2020-01-17,Y2020M1
43848,2020-01-18,Y2020M1
43849,2020-01-19,Y2020M1
43850,2020-01-20,Y2020M1
43851,2020-01-21,Y2020M1
43852,2020-01-22,Y2020M1
43853,2020-01-23,Y2020M1
43854,2020-01-24,Y2020M1
43855,2020-01-25,Y2020M1
43856,2020-01-26,Y2020M1
43857,2020-01-27,Y2020M1
43858,2020-01-28,Y2020M1
43859,2020-01-29,Y2020M1
43860,2020-01-30,Y2020M1
43861,2020-01-31,Y2020M1
43862,2020-02-01,Y2020M2
43863,2020-02-02,Y2020M2
43864,2020-02-03,Y2020M2
43865,2020-02-04,Y2020M2
43866,2020-02-05,Y2020M2
43867,2020-02-06,Y2020M2
43868,2020-02-07,Y2020M2
43869,2020-02-08,Y2020M2
43870,2020-02-09,Y2020M2
43871,2020-02-10,Y2020M2
43872,2020-02-11,Y2020M2
43873,2020-02-12,Y2020M2
43874,2020-02-13,Y2020M2
43875,2020-02-14,Y2020M2
43876,2020-02-15,Y2020M2
43877,2020-02-16,Y2020M2
43878,2020-02-17,Y2020M2
43879,2020-02-18,Y2020M2
43880,2020-02-19,Y2020M2
43881,2020-02-20,Y2020M2
43882,2020-02-21,Y2020M2
43883,2020-02-22,Y2020M2
43884,2020-02-23,Y2020M2
43885,2020-02-24,Y2020M2
43886,2020-02-25,Y2020M2
43887,2020-02-26,Y2020M2
43888,2020-02-27,Y2020M2
43889,2020-02-28,Y2020M2
43890,2020-02-29,Y2020M2
43891,2020-03-01,Y2020M3
43892,2020-03-02,Y2020M3
43893,2020-03-03,Y2020M3
43894,2020-03-04,Y2020M3
43895,2020-03-05,Y2020M3
43896,2020-03-06,Y2020M3
43897,2020-03-07,Y2020M3
43898,2020-03-08,Y2020M3
43899,2020-03-09,Y2020M3
43900,2020-03-10,Y2020M3
43901,2020-03-11,Y2020M3
43902,2020-03-12,Y2020M3
43903,2020-03-13,Y2020M3
43904,2020-03-14,Y2020M3
43905,2020-03-15,Y2020M3
43906,2020-03-16,Y2020M3
43907,2020-03-17,Y2020M3
43908,2020-03-18,Y2020M3
43909,2020-03-19,Y2020M3
43910,2020-03-20,Y2020M3
43911,2020-03-21,Y2020M3
43912,2020-03-22,Y2020M3
43913,2020-03-23,Y2020M3
43914,2020-03-24,Y2020M3
43915,2020-03-25,Y2020M3
43916,2020-03-26,Y2020M3
43917,2020-03-27,Y2020M3
43918,2020-03-28,Y2020M3
43919,2020-03-29,Y2020M3
43920,2020-03-30,Y2020M3
43921,2020-03-31,Y2020M3
43922,2020-04-01,Y2020M4
43923,2020-04-02,Y2020M4
43924,2020-04-03,Y2020M4
43925,2020-04-04,Y2020M4
