MonthID,MonthName,QuarterID
Y2020M1,01 January 2020,Y2020Q1
Y2020M2,01 February 2020,Y2020Q1
Y2020M3,01 March 2020,Y2020Q1
Y2020M4,01 April 2020,Y2020Q2
Y2020M5,01 May 2020,Y2020Q2
Y2020M6,01 June 2020,Y2020Q2
Y2020M7,01 July 2020,Y2020Q3
Y2020M8,01 August 2020,Y2020Q3
Y2020M9,01 September 2020,Y2020Q3
Y2020M10,01 October 2020,Y2020Q4
Y2020M11,01 November 2020,Y2020Q4
Y2020M12,01 December 2020,Y2020Q4
Y2021M1,01 January 2021,Y2021Q1
Y2021M2,01 February 2021,Y2021Q1
Y2021M3,01 March 2021,Y2021Q1
Y2021M4,01 April 2021,Y2021Q2
Y2021M5,01 May 2021,Y2021Q2
Y2021M6,01 June 2021,Y2021Q2
Y2021M7,01 July 2021,Y2021Q3
Y2021M8,01 August 2021,Y2021Q3
Y2021M9,01 September 2021,Y2021Q3
Y2021M10,01 October 2021,Y2021Q4
Y2021M11,01 November 2021,Y2021Q4
Y2021M12,01 December 2021,Y2021Q4
Y2022M1,01 January 2022,Y2022Q1
Y2022M2,01 February 2022,Y2022Q1
Y2022M3,01 March 2022,Y2022Q1
Y2022M4,01 April 2022,Y2022Q2
Y2022M5,01 May 2022,Y2022Q2
Y2022M6,01 June 2022,Y2022Q2
Y2022M7,01 July 2022,Y2022Q3
Y2022M8,01 August 2022,Y2022Q3
Y2022M9,01 September 2022,Y2022Q3
Y2022M10,01 October 2022,Y2022Q4
Y2022M11,01 November 2022,Y2022Q4
Y2022M12,01 December 2022,Y2022Q4
Y2023M1,01 January 2023,Y2023Q1
Y2023M2,01 February 2023,Y2023Q1
Y2023M3,01 March 2023,Y2023Q1
Y2023M4,01 April 2023,Y2023Q2
Y2023M5,01 May 2023,Y2023Q2
Y2023M6,01 June 2023,Y2023Q2
Y2023M7,01 July 2023,Y2023Q3
Y2023M8,01 August 2023,Y2023Q3
Y2023M9,01 September 2023,Y2023Q3
Y2023M10,01 October 2023,Y2023Q4
Y2023M11,01 November 2023,Y2023Q4
Y2023M12,01 December 2023,Y2023Q4
Y2024M1,01 January 2024,Y2024Q1
Y2024M2,01 February 2024,Y2024Q1
Y2024M3,01 March 2024,Y2024Q1
Y2024M4,01 April 2024,Y2024Q2
Y2024M5,01 May 2024,Y2024Q2
Y2024M6,01 June 2024,Y2024Q2
Y2024M7,01 July 2024,Y2024Q3
Y2024M8,01 August 2024,Y2024Q3
Y2024M9,01 September 2024,Y2024Q3
Y2024M10,01 October 2024,Y2024Q4
Y2024M11,01 November 2024,Y2024Q4
Y2024M12,01 December 2024,Y2024Q4
Y2025M1,01 January 2025,Y2025Q1
Y2025M2,01 February 2025,Y2025Q1
Y2025M3,01 March 2025,Y2025Q1
Y2025M4,01 April 2025,Y2025Q2
Y2025M5,01 May 2025,Y2025Q2
Y2025M6,01 June 2025,Y2025Q2
Y2025M7,01 July 2025,Y2025Q3
Y2025M8,01 August 2025,Y2025Q3
