"Date","Price","Open","High","Low","Change %"
"08/29/2025","3.569","3.561","3.575","3.553","0.22%"
"08/28/2025","3.561","3.575","3.576","3.560","-0.86%"
"08/27/2025","3.592","3.581","3.609","3.578","0.53%"
"08/26/2025","3.573","3.582","3.582","3.554","0.48%"
"08/25/2025","3.556","3.532","3.559","3.532","-0.86%"
"08/22/2025","3.587","3.604","3.608","3.583","0.79%"
"08/21/2025","3.559","3.547","3.560","3.539","-0.20%"
"08/20/2025","3.566","3.591","3.597","3.550","-0.78%"
"08/19/2025","3.594","3.577","3.599","3.571","1.47%"
"08/18/2025","3.542","3.554","3.559","3.539","0.68%"
"08/15/2025","3.518","3.528","3.542","3.503","0.23%"
"08/14/2025","3.510","3.493","3.516","3.478","-0.48%"
"08/13/2025","3.527","3.536","3.557","3.526","-0.59%"
"08/12/2025","3.548","3.574","3.602","3.547","-0.45%"
"08/11/2025","3.564","3.583","3.584","3.540","-0.14%"
"08/08/2025","3.569","3.560","3.569","3.551","0.37%"
"08/07/2025","3.556","3.560","3.564","3.546","-0.03%"
"08/06/2025","3.557","3.532","3.582","3.526","0.68%"
"08/05/2025","3.533","3.496","3.545","3.471","-0.34%"
"08/04/2025","3.545","3.507","3.555","3.474","-2.48%"
"08/01/2025","3.635","3.616","3.645","3.581","1.17%"
"07/31/2025","3.593","3.585","3.600","3.566","0.73%"
"07/30/2025","3.567","3.617","3.620","3.558","-1.95%"
"07/29/2025","3.638","3.664","3.665","3.634","-0.63%"
"07/28/2025","3.661","3.660","3.683","3.650","-0.11%"
"07/25/2025","3.665","3.670","3.683","3.658","0.05%"
"07/24/2025","3.663","3.632","3.670","3.621","1.69%"
"07/23/2025","3.602","3.584","3.605","3.570","0.28%"
"07/22/2025","3.592","3.581","3.601","3.569","0.00%"
"07/21/2025","3.592","3.595","3.606","3.578","0.06%"
"07/18/2025","3.590","3.588","3.617","3.569","-0.55%"
"07/17/2025","3.610","3.656","3.678","3.596","-2.17%"
"07/16/2025","3.690","3.719","3.725","3.688","0.41%"
"07/15/2025","3.675","3.664","3.695","3.664","0.22%"
"07/14/2025","3.667","3.655","3.669","3.618","0.94%"
"07/11/2025","3.633","3.628","3.640","3.626","0.86%"
"07/10/2025","3.602","3.600","3.641","3.590","-1.50%"
"07/09/2025","3.657","3.624","3.682","3.618","1.67%"
"07/08/2025","3.597","3.527","3.624","3.504","2.83%"
"07/07/2025","3.498","3.500","3.555","3.471","-0.29%"
"07/04/2025","3.508","3.532","3.570","3.503","0.40%"
"07/03/2025","3.494","3.504","3.519","3.481","0.69%"
"07/02/2025","3.470","3.459","3.476","3.459","0.96%"
"07/01/2025","3.437","3.472","3.474","3.426","-1.09%"
"06/30/2025","3.475","3.482","3.496","3.465","-0.37%"
"06/28/2025","3.488","3.478","3.491","3.488","0.96%"
"06/27/2025","3.455","3.444","3.462","3.432","0.58%"
"06/26/2025","3.435","3.453","3.453","3.416","0.00%"
"06/25/2025","3.435","3.469","3.472","3.431","-0.72%"
"06/24/2025","3.460","3.500","3.509","3.460","-1.79%"
"06/23/2025","3.523","3.514","3.547","3.466","-0.20%"
"06/20/2025","3.530","3.555","3.556","3.529","-0.54%"
"06/19/2025","3.549","3.562","3.576","3.538","-0.50%"
"06/18/2025","3.567","3.559","3.575","3.551","-0.06%"
"06/17/2025","3.569","3.565","3.585","3.539","0.31%"
"06/16/2025","3.558","3.534","3.566","3.483","2.12%"
"06/13/2025","3.484","3.503","3.505","3.459","-2.00%"
"06/12/2025","3.555","3.560","3.576","3.530","-1.28%"
"06/11/2025","3.601","3.587","3.607","3.583","0.84%"
"06/10/2025","3.571","3.607","3.618","3.562","-1.46%"
"06/09/2025","3.624","3.626","3.626","3.602","1.43%"
"06/06/2025","3.573","3.584","3.591","3.560","0.76%"
"06/05/2025","3.546","3.519","3.546","3.514","-0.03%"
"06/04/2025","3.547","3.555","3.563","3.490","0.08%"
"06/03/2025","3.544","3.595","3.599","3.534","-0.17%"
"06/02/2025","3.550","3.530","3.582","3.470","-1.00%"
"05/30/2025","3.586","3.595","3.606","3.555","-2.24%"
"05/29/2025","3.668","3.637","3.684","3.635","0.66%"
"05/28/2025","3.644","3.601","3.653","3.590","0.83%"
"05/27/2025","3.614","3.637","3.637","3.594","-1.58%"
"05/26/2025","3.672","3.659","3.706","3.644","-1.32%"
"05/23/2025","3.721","3.690","3.741","3.663","-0.27%"
"05/22/2025","3.731","3.745","3.762","3.718","0.62%"
"05/21/2025","3.708","3.656","3.731","3.652","-0.19%"
"05/20/2025","3.715","3.819","3.836","3.676","-3.43%"
"05/19/2025","3.847","3.855","3.867","3.803","1.16%"
"05/16/2025","3.803","3.807","3.833","3.792","-1.68%"
"05/15/2025","3.868","3.861","3.905","3.861","1.20%"
"05/14/2025","3.822","3.804","3.843","3.789","1.27%"
"05/13/2025","3.774","3.793","3.801","3.758","2.61%"
"05/12/2025","3.678","3.636","3.690","3.622","1.21%"
"05/09/2025","3.634","3.623","3.637","3.620","1.31%"
"05/08/2025","3.587","3.557","3.592","3.554","-0.19%"
"05/07/2025","3.594","3.644","3.644","3.593","-1.78%"
"05/06/2025","3.659","3.656","3.669","3.643","1.05%"
"05/05/2025","3.621","3.618","3.628","3.574","1.46%"
"05/02/2025","3.569","3.584","3.594","3.551","0.54%"
"05/01/2025","3.550","3.534","3.564","3.534","0.28%"
"04/30/2025","3.540","3.557","3.571","3.509","-0.34%"
"04/29/2025","3.552","3.539","3.562","3.532","0.65%"
"04/28/2025","3.529","3.557","3.587","3.528","-1.64%"
"04/24/2025","3.588","3.657","3.657","3.588","0.06%"
"04/23/2025","3.586","3.543","3.588","3.539","0.84%"
"04/22/2025","3.556","3.584","3.617","3.540","-1.74%"
"04/17/2025","3.619","3.605","3.633","3.578","-0.69%"
"04/16/2025","3.644","3.642","3.659","3.631","0.66%"
"04/15/2025","3.620","3.610","3.636","3.580","-0.93%"
"04/14/2025","3.654","3.727","3.750","3.640","1.67%"
"04/11/2025","3.594","3.606","3.630","3.566","-0.19%"
"04/10/2025","3.601","3.759","3.827","3.594","1.15%"
"04/09/2025","3.560","3.578","3.631","3.516","-1.03%"
"04/08/2025","3.597","3.667","3.677","3.592","1.04%"
"04/07/2025","3.560","3.586","3.586","3.424","-1.44%"
"04/04/2025","3.612","3.672","3.672","3.612","-3.55%"
"04/03/2025","3.745","3.863","3.864","3.732","-3.48%"
"04/02/2025","3.880","3.835","3.880","3.823","0.62%"
"04/01/2025","3.856","3.871","3.883","3.851","-0.08%"
"03/31/2025","3.859","3.883","3.886","3.810","-2.06%"
"03/28/2025","3.940","3.965","3.971","3.938","-1.05%"
"03/27/2025","3.982","3.970","3.989","3.953","0.78%"
"03/26/2025","3.951","3.949","3.964","3.934","0.69%"
"03/25/2025","3.924","3.954","3.957","3.923","0.23%"
"03/24/2025","3.915","3.912","3.927","3.898","0.05%"
"03/21/2025","3.913","3.912","3.925","3.909","0.36%"
"03/20/2025","3.899","3.960","3.974","3.883","-1.54%"
"03/19/2025","3.960","3.952","3.960","3.940","0.64%"
"03/18/2025","3.935","3.940","3.954","3.929","-0.05%"
"03/17/2025","3.937","3.968","3.969","3.928","-0.03%"
"03/14/2025","3.938","3.927","3.942","3.917","-0.35%"
"03/13/2025","3.952","3.990","3.990","3.946","-0.48%"
"03/12/2025","3.971","3.974","3.985","3.965","1.30%"
"03/11/2025","3.920","3.937","3.950","3.892","-0.99%"
"03/10/2025","3.959","3.982","4.025","3.931","1.62%"
"03/07/2025","3.896","3.915","3.923","3.890","-1.72%"
"03/06/2025","3.964","3.906","3.968","3.906","2.38%"
"03/05/2025","3.872","3.834","3.898","3.808","1.79%"
"03/04/2025","3.804","3.845","3.845","3.794","-1.68%"
"03/03/2025","3.869","3.850","3.883","3.836","0.42%"
"02/28/2025","3.853","3.890","3.893","3.848","-1.23%"
"02/27/2025","3.901","3.870","3.911","3.868","0.03%"
"02/26/2025","3.900","3.905","3.915","3.881","-1.12%"
"02/25/2025","3.944","3.960","3.963","3.934","-1.00%"
"02/24/2025","3.984","3.980","4.005","3.976","-1.75%"
"02/21/2025","4.055","4.056","4.065","4.048","-0.27%"
"02/20/2025","4.066","4.046","4.071","4.036","0.49%"
"02/19/2025","4.046","4.048","4.060","4.040","2.15%"
"02/18/2025","3.961","3.975","3.991","3.960","-0.48%"
"02/17/2025","3.980","3.938","3.981","3.930","0.68%"
"02/14/2025","3.953","3.933","3.957","3.928","-1.13%"
"02/13/2025","3.998","4.066","4.068","3.985","0.53%"
"02/12/2025","3.977","3.943","3.985","3.938","1.71%"
"02/11/2025","3.910","3.930","3.940","3.909","-0.33%"
"02/10/2025","3.923","3.918","3.933","3.900","1.08%"
"02/07/2025","3.881","3.871","3.891","3.863","1.09%"
"02/06/2025","3.839","3.839","3.846","3.828","-1.36%"
"02/05/2025","3.892","3.915","3.933","3.890","-0.71%"
"02/04/2025","3.920","3.895","3.937","3.895","1.14%"
"02/03/2025","3.876","3.961","3.974","3.857","-1.80%"
"01/31/2025","3.947","3.896","3.949","3.896","0.46%"
"01/30/2025","3.929","3.920","3.937","3.909","0.92%"
"01/29/2025","3.893","3.977","3.985","3.893","-1.89%"
"01/28/2025","3.968","3.940","3.974","3.934","-1.10%"
"01/24/2025","4.012","4.048","4.055","4.007","-0.50%"
"01/23/2025","4.032","4.041","4.056","4.032","-0.10%"
"01/22/2025","4.036","4.025","4.037","4.006","1.31%"
"01/21/2025","3.984","4.045","4.045","3.978","-1.85%"
"01/20/2025","4.059","4.089","4.107","4.058","-0.10%"
"01/17/2025","4.063","4.048","4.086","4.048","-0.39%"
"01/16/2025","4.079","4.070","4.085","4.050","-2.44%"
"01/15/2025","4.181","4.183","4.197","4.177","0.02%"
"01/14/2025","4.180","4.203","4.227","4.176","-0.48%"
"01/13/2025","4.200","4.170","4.217","4.138","3.70%"
"01/10/2025","4.050","4.037","4.056","4.026","0.65%"
"01/09/2025","4.024","4.058","4.069","4.021","-0.59%"
"01/08/2025","4.048","4.087","4.099","4.029","0.12%"
"01/07/2025","4.043","4.038","4.051","4.034","0.65%"
"01/06/2025","4.017","3.997","4.026","3.978","1.85%"
"01/03/2025","3.944","3.999","3.999","3.942","-1.13%"
"01/02/2025","3.989","3.963","3.993","3.954","0.99%"
"12/31/2024","3.950","3.964","3.971","3.950","-2.01%"
"12/30/2024","4.031","3.968","4.033","3.967","1.92%"
"12/27/2024","3.955","4.005","4.010","3.954","-1.49%"
"12/24/2024","4.015","4.021","4.031","4.003","0.20%"
"12/23/2024","4.007","4.040","4.040","4.004","-2.27%"
"12/20/2024","4.100","4.089","4.108","4.071","1.74%"
"12/19/2024","4.030","3.964","4.031","3.959","2.99%"
"12/18/2024","3.913","3.928","3.928","3.902","-0.23%"
"12/17/2024","3.922","3.968","3.977","3.913","-0.76%"
"12/16/2024","3.952","3.938","3.962","3.938","0.25%"
"12/13/2024","3.942","3.935","3.957","3.910","0.46%"
"12/12/2024","3.924","3.807","3.925","3.788","2.94%"
"12/11/2024","3.812","3.792","3.814","3.774","-1.55%"
"12/10/2024","3.872","3.903","3.911","3.858","0.31%"
"12/09/2024","3.860","3.869","3.895","3.836","-0.82%"
"12/06/2024","3.892","3.903","3.915","3.885","0.26%"
"12/05/2024","3.882","3.867","3.883","3.837","-0.36%"
"12/04/2024","3.896","3.993","4.005","3.896","-1.74%"
"12/03/2024","3.965","3.972","3.976","3.947","-0.53%"
"12/02/2024","3.986","3.965","3.987","3.939","-0.65%"
"11/29/2024","4.012","3.998","4.027","3.992","0.07%"
"11/28/2024","4.009","4.016","4.036","4.005","-1.38%"
"11/27/2024","4.065","4.062","4.081","4.051","-0.07%"
"11/26/2024","4.068","4.048","4.069","4.048","-1.26%"
"11/25/2024","4.120","4.160","4.160","4.098","-1.79%"
"11/22/2024","4.195","4.209","4.218","4.191","-0.21%"
"11/21/2024","4.204","4.208","4.218","4.199","0.65%"
"11/20/2024","4.177","4.159","4.187","4.158","-0.21%"
"11/19/2024","4.186","4.200","4.202","4.175","-1.09%"
"11/18/2024","4.232","4.212","4.237","4.212","-1.01%"
"11/15/2024","4.275","4.288","4.312","4.275","-1.20%"
"11/14/2024","4.327","4.307","4.336","4.290","0.02%"
"11/13/2024","4.326","4.274","4.326","4.265","2.80%"
"11/12/2024","4.208","4.219","4.228","4.206","-0.33%"
"11/11/2024","4.222","4.168","4.225","4.140","1.08%"
"11/08/2024","4.177","4.196","4.196","4.164","-1.72%"
"11/07/2024","4.250","4.236","4.257","4.235","-0.79%"
"11/06/2024","4.284","4.193","4.300","4.188","2.24%"
"11/05/2024","4.190","4.201","4.213","4.181","0.53%"
"11/04/2024","4.168","4.203","4.221","4.124","-0.19%"
"11/01/2024","4.176","4.163","4.182","4.158","0.99%"
"10/31/2024","4.135","4.118","4.150","4.094","1.52%"
"10/30/2024","4.073","4.060","4.096","4.050","0.39%"
"10/29/2024","4.057","4.071","4.081","4.046","-0.51%"
"10/28/2024","4.078","4.052","4.080","4.031","1.32%"
"10/25/2024","4.025","4.048","4.055","4.016","-0.84%"
"10/24/2024","4.059","4.060","4.090","4.055","0.00%"
"10/23/2024","4.059","4.019","4.068","4.017","1.10%"
