"Date","Price","Open","High","Low","Change %"
"08/29/2025","3.500","3.491","3.534","3.469","0.59%"
"08/28/2025","3.480","3.488","3.541","3.462","-0.63%"
"08/27/2025","3.502","3.514","3.544","3.466","-0.22%"
"08/26/2025","3.510","3.520","3.551","3.492","-0.56%"
"08/25/2025","3.529","3.487","3.568","3.478","1.19%"
"08/22/2025","3.488","3.519","3.543","3.462","-0.90%"
"08/21/2025","3.519","3.473","3.540","3.457","1.49%"
"08/20/2025","3.467","3.502","3.530","3.461","-1.34%"
"08/19/2025","3.515","3.543","3.569","3.496","-0.51%"
"08/18/2025","3.533","3.535","3.560","3.481","-0.22%"
"08/15/2025","3.540","3.469","3.561","3.449","2.40%"
"08/14/2025","3.457","3.425","3.480","3.389","0.87%"
"08/13/2025","3.428","3.480","3.512","3.409","-1.91%"
"08/12/2025","3.494","3.439","3.523","3.419","1.79%"
"08/11/2025","3.433","3.412","3.454","3.381","0.57%"
"08/08/2025","3.414","3.401","3.442","3.364","1.24%"
"08/07/2025","3.372","3.418","3.427","3.359","-0.92%"
"08/06/2025","3.403","3.373","3.431","3.360","1.07%"
"08/05/2025","3.367","3.382","3.414","3.334","-0.18%"
"08/04/2025","3.373","3.450","3.482","3.363","-1.97%"
"08/01/2025","3.441","3.481","3.522","3.385","0.00%"
"07/31/2025","3.441","3.427","3.478","3.418","-0.55%"
"07/30/2025","3.460","3.440","3.489","3.421","0.29%"
"07/29/2025","3.450","3.459","3.495","3.432","-0.12%"
"07/28/2025","3.454","3.468","3.493","3.429","-0.49%"
"07/25/2025","3.471","3.474","3.545","3.464","0.49%"
"07/24/2025","3.454","3.459","3.487","3.412","2.13%"
"07/23/2025","3.382","3.399","3.422","3.363","0.30%"
"07/22/2025","3.372","3.410","3.434","3.353","-1.29%"
"07/21/2025","3.416","3.447","3.469","3.382","-1.73%"
"07/18/2025","3.476","3.472","3.507","3.456","0.23%"
"07/17/2025","3.468","3.488","3.523","3.440","-0.46%"
"07/16/2025","3.484","3.489","3.530","3.451","-0.37%"
"07/15/2025","3.497","3.505","3.528","3.447","-0.68%"
"07/14/2025","3.521","3.505","3.549","3.487","0.28%"
"07/11/2025","3.511","3.473","3.539","3.461","0.52%"
"07/10/2025","3.493","3.437","3.514","3.424","1.33%"
"07/09/2025","3.447","3.453","3.491","3.425","-0.40%"
"07/08/2025","3.461","3.423","3.510","3.414","1.56%"
"07/07/2025","3.408","3.364","3.441","3.348","1.44%"
"07/04/2025","3.359","3.353","3.395","3.329","0.03%"
"07/03/2025","3.359","3.314","3.423","3.314","-1.00%"
"07/02/2025","3.392","3.373","3.446","3.350","1.21%"
"07/01/2025","3.352","3.376","3.398","3.328","-1.32%"
"06/30/2025","3.397","3.385","3.422","3.353","0.80%"
"06/27/2025","3.370","3.369","3.423","3.349","0.12%"
"06/26/2025","3.366","3.347","3.409","3.329","0.34%"
"06/25/2025","3.355","3.346","3.405","3.305","0.31%"
"06/24/2025","3.344","3.328","3.415","3.309","1.15%"
"06/23/2025","3.306","3.374","3.393","3.300","-0.29%"
"06/20/2025","3.316","3.305","3.376","3.293","-0.18%"
"06/19/2025","3.322","3.325","3.369","3.306","0.87%"
"06/18/2025","3.293","3.340","3.386","3.294","-1.07%"
"06/17/2025","3.329","3.368","3.390","3.301","0.36%"
"06/16/2025","3.316","3.357","3.418","3.312","-0.52%"
"06/13/2025","3.334","3.237","3.367","3.227","2.02%"
"06/12/2025","3.268","3.337","3.368","3.268","-1.89%"
"06/11/2025","3.331","3.327","3.376","3.311","0.70%"
"06/10/2025","3.308","3.350","3.388","3.300","-1.17%"
"06/09/2025","3.347","3.360","3.410","3.295","0.12%"
"06/06/2025","3.343","3.400","3.400","3.319","-0.73%"
"06/05/2025","3.368","3.342","3.405","3.267","1.71%"
"06/04/2025","3.311","3.325","3.363","3.302","-0.03%"
"06/03/2025","3.312","3.284","3.344","3.274","-0.17%"
"06/02/2025","3.318","3.316","3.379","3.302","0.97%"
"05/30/2025","3.286","3.305","3.360","3.282","-0.21%"
