"Date","Price","Open","High","Low","Change %"
"08/29/2025","4.006","3.949","4.009","3.947","1.30%"
"08/28/2025","3.954","3.960","4.003","3.940","-1.03%"
"08/27/2025","3.996","3.978","4.033","3.948","0.10%"
"08/26/2025","3.992","3.990","4.037","3.960","0.10%"
"08/25/2025","3.988","3.959","4.018","3.948","1.46%"
"08/22/2025","3.930","3.957","3.983","3.893","-0.63%"
"08/21/2025","3.955","3.902","3.975","3.898","1.18%"
"08/20/2025","3.909","3.933","3.954","3.900","-0.68%"
"08/19/2025","3.936","3.956","3.985","3.922","-0.50%"
"08/18/2025","3.955","3.946","3.975","3.901","-0.13%"
"08/15/2025","3.961","3.861","3.975","3.857","2.69%"
"08/14/2025","3.857","3.796","3.878","3.783","1.31%"
"08/13/2025","3.807","3.862","3.881","3.802","-2.34%"
"08/12/2025","3.899","3.826","3.913","3.825","2.01%"
"08/11/2025","3.822","3.798","3.846","3.770","0.48%"
"08/08/2025","3.803","3.769","3.833","3.760","1.14%"
"08/07/2025","3.761","3.796","3.824","3.757","-0.79%"
"08/06/2025","3.791","3.775","3.825","3.770","0.81%"
"08/05/2025","3.760","3.763","3.807","3.733","-0.03%"
"08/04/2025","3.761","3.838","3.878","3.760","-1.93%"
"08/01/2025","3.836","3.856","3.898","3.789","-0.03%"
"07/31/2025","3.836","3.816","3.857","3.803","0.00%"
"07/30/2025","3.836","3.841","3.871","3.811","0.13%"
"07/29/2025","3.831","3.851","3.876","3.815","-0.03%"
"07/28/2025","3.832","3.854","3.876","3.818","-0.78%"
"07/25/2025","3.862","3.882","3.942","3.860","0.10%"
"07/24/2025","3.859","3.830","3.887","3.821","2.05%"
"07/23/2025","3.781","3.794","3.816","3.768","0.05%"
"07/22/2025","3.779","3.807","3.836","3.753","-0.31%"
"07/21/2025","3.791","3.847","3.875","3.780","-2.35%"
"07/18/2025","3.882","3.873","3.908","3.863","0.55%"
"07/17/2025","3.861","3.888","3.921","3.847","-0.15%"
"07/16/2025","3.867","3.899","3.920","3.847","-0.47%"
"07/15/2025","3.885","3.903","3.914","3.840","-0.65%"
"07/14/2025","3.911","3.889","3.938","3.888","0.76%"
"07/11/2025","3.881","3.868","3.913","3.855","0.16%"
"07/10/2025","3.875","3.817","3.891","3.807","1.29%"
"07/09/2025","3.826","3.814","3.850","3.798","0.05%"
"07/08/2025","3.824","3.810","3.870","3.807","1.05%"
"07/07/2025","3.784","3.746","3.810","3.744","1.05%"
"07/04/2025","3.745","3.718","3.761","3.709","0.38%"
"07/03/2025","3.730","3.759","3.790","3.726","-0.94%"
"07/02/2025","3.766","3.733","3.814","3.721","1.55%"
"07/01/2025","3.708","3.721","3.738","3.676","-0.98%"
"06/30/2025","3.745","3.732","3.767","3.708","0.62%"
"06/27/2025","3.722","3.709","3.783","3.703","0.33%"
"06/26/2025","3.710","3.687","3.745","3.672","0.11%"
"06/25/2025","3.706","3.667","3.750","3.641","0.43%"
"06/24/2025","3.690","3.654","3.749","3.650","0.91%"
"06/23/2025","3.657","3.717","3.739","3.648","-0.43%"
"06/20/2025","3.672","3.656","3.719","3.652","-0.73%"
"06/19/2025","3.700","3.678","3.716","3.663","1.62%"
"06/18/2025","3.640","3.691","3.721","3.637","-1.10%"
"06/17/2025","3.681","3.696","3.728","3.644","0.46%"
"06/16/2025","3.664","3.701","3.749","3.649","-0.25%"
"06/13/2025","3.674","3.591","3.699","3.586","2.18%"
"06/12/2025","3.595","3.623","3.654","3.588","-1.40%"
"06/11/2025","3.646","3.642","3.679","3.620","0.87%"
"06/10/2025","3.615","3.637","3.662","3.603","-0.95%"
"06/09/2025","3.649","3.642","3.704","3.589","0.06%"
"06/06/2025","3.647","3.672","3.683","3.622","-0.82%"
"06/05/2025","3.678","3.636","3.706","3.588","0.86%"
"06/04/2025","3.646","3.642","3.676","3.620","0.12%"
"06/03/2025","3.642","3.614","3.663","3.588","0.06%"
"06/02/2025","3.640","3.624","3.683","3.609","1.04%"
"05/30/2025","3.602","3.622","3.666","3.597","-0.26%"
"05/29/2025","3.612","3.679","3.719","3.609","-1.24%"
"05/28/2025","3.657","3.646","3.685","3.627","0.69%"
"05/27/2025","3.632","3.650","3.669","3.617","-1.05%"
"05/26/2025","3.671","3.737","3.757","3.668","-1.30%"
"05/23/2025","3.719","3.743","3.774","3.686","-1.04%"
