"Date","Price","Open","High","Low","Change %"
"08/29/2025","13.220","13.220","13.220","13.180","0.46%"
"08/28/2025","13.160","13.220","13.220","13.155","-0.45%"
"08/27/2025","13.220","13.235","13.255","13.200","-0.30%"
"08/26/2025","13.260","13.280","13.280","13.255","0.42%"
"08/25/2025","13.205","13.215","13.220","13.200","-0.38%"
"08/22/2025","13.255","13.350","13.350","13.255","-1.19%"
"08/21/2025","13.415","13.345","13.415","13.345","0.79%"
"08/20/2025","13.310","13.375","13.380","13.305","-0.67%"
"08/19/2025","13.400","13.340","13.420","13.340","1.44%"
"08/18/2025","13.210","13.145","13.215","13.145","0.61%"
"08/15/2025","13.130","13.105","13.140","13.090","-0.23%"
"08/14/2025","13.160","13.200","13.200","13.155","0.08%"
"08/13/2025","13.150","13.135","13.177","13.110","0.23%"
"08/12/2025","13.120","13.125","13.125","13.105","-0.87%"
"08/11/2025","13.235","13.290","13.290","13.235","-0.49%"
"08/08/2025","13.300","13.275","13.315","13.260","-0.15%"
"08/07/2025","13.320","13.375","13.438","13.320","-0.49%"
"08/06/2025","13.385","13.415","13.415","13.380","-0.19%"
"08/05/2025","13.410","13.370","13.410","13.355","0.22%"
"08/04/2025","13.380","13.395","13.400","13.365","-0.63%"
"08/01/2025","13.465","13.455","13.465","13.445","-1.03%"
"07/31/2025","13.605","13.535","13.605","13.535","0.96%"
"07/30/2025","13.475","13.465","13.475","13.435","0.52%"
"07/29/2025","13.405","13.525","13.525","13.405","-0.92%"
"07/28/2025","13.530","13.530","13.535","13.510","-0.18%"
"07/25/2025","13.555","13.535","13.555","13.510","0.37%"
"07/24/2025","13.505","13.475","13.535","13.475","0.07%"
"07/23/2025","13.495","13.491","13.525","13.491","-0.04%"
"07/22/2025","13.500","13.520","13.525","13.500","-0.99%"
"07/21/2025","13.635","13.690","13.700","13.620","-0.37%"
"07/18/2025","13.685","13.620","13.705","13.600","0.63%"
"07/17/2025","13.600","13.690","13.695","13.595","-0.58%"
"07/16/2025","13.680","13.690","13.800","13.670","0.51%"
