"Date","Price","Open","High","Low","Change %"
"08/29/2025","3.729","3.773","3.781","3.723","-0.85%"
"08/28/2025","3.761","3.788","3.806","3.759","-0.90%"
"08/27/2025","3.795","3.795","3.835","3.788","-0.03%"
"08/26/2025","3.796","3.813","3.817","3.785","0.05%"
"08/25/2025","3.794","3.785","3.806","3.778","0.93%"
"08/22/2025","3.759","3.800","3.801","3.718","-1.00%"
"08/21/2025","3.797","3.785","3.810","3.766","0.61%"
"08/20/2025","3.774","3.766","3.799","3.755","-0.19%"
"08/19/2025","3.781","3.811","3.826","3.772","-0.94%"
"08/18/2025","3.817","3.752","3.827","3.751","1.14%"
"08/15/2025","3.774","3.755","3.790","3.754","1.21%"
"08/14/2025","3.729","3.701","3.746","3.673","0.62%"
"08/13/2025","3.706","3.705","3.724","3.686","-0.83%"
"08/12/2025","3.737","3.691","3.765","3.677","1.33%"
"08/11/2025","3.688","3.645","3.692","3.645","0.30%"
"08/08/2025","3.677","3.684","3.697","3.660","-0.05%"
"08/07/2025","3.679","3.682","3.698","3.643","-0.27%"
"08/06/2025","3.689","3.670","3.695","3.650","1.32%"
"08/05/2025","3.641","3.646","3.656","3.626","0.00%"
"08/01/2025","3.641","3.723","3.728","3.630","-1.59%"
"07/31/2025","3.700","3.723","3.731","3.684","-0.86%"
"07/30/2025","3.732","3.727","3.768","3.715","0.13%"
"07/29/2025","3.727","3.791","3.791","3.723","-1.40%"
"07/28/2025","3.780","3.759","3.791","3.758","0.03%"
"07/25/2025","3.779","3.820","3.828","3.761","-0.45%"
"07/24/2025","3.796","3.825","3.857","3.786","-0.29%"
"07/23/2025","3.807","3.777","3.818","3.758","1.47%"
"07/22/2025","3.752","3.779","3.793","3.732","-0.48%"
"07/21/2025","3.770","3.798","3.799","3.743","-1.54%"
"07/18/2025","3.829","3.813","3.832","3.797","0.37%"
"07/17/2025","3.815","3.829","3.851","3.797","-0.34%"
"07/16/2025","3.828","3.818","3.859","3.787","-0.16%"
"07/15/2025","3.834","3.757","3.860","3.747","1.59%"
"07/14/2025","3.774","3.746","3.790","3.738","0.80%"
"07/11/2025","3.744","3.672","3.752","3.657","2.46%"
"07/10/2025","3.654","3.632","3.668","3.627","1.02%"
"07/09/2025","3.617","3.668","3.691","3.611","-1.34%"
"07/08/2025","3.666","3.675","3.684","3.660","0.73%"
"07/07/2025","3.639","3.592","3.658","3.590","1.29%"
"07/04/2025","3.593","3.585","3.604","3.556","-0.57%"
"07/03/2025","3.614","3.556","3.630","3.547","0.74%"
"07/02/2025","3.587","3.555","3.611","3.549","2.43%"
"06/30/2025","3.502","3.549","3.552","3.502","-0.96%"
"06/27/2025","3.536","3.588","3.596","3.508","-0.81%"
"06/26/2025","3.565","3.561","3.588","3.546","-0.17%"
"06/25/2025","3.571","3.533","3.593","3.525","1.42%"
"06/24/2025","3.521","3.530","3.579","3.497","0.06%"
"06/23/2025","3.519","3.546","3.570","3.460","-0.47%"
"06/20/2025","3.536","3.581","3.604","3.535","-0.60%"
"06/19/2025","3.557","3.573","3.589","3.540","-0.14%"
"06/18/2025","3.562","3.573","3.605","3.543","-1.14%"
