"Date","Price","Open","High","Low","Change %"
"08/29/2025","5.430","5.400","5.430","5.400","0.56%"
"08/28/2025","5.400","5.370","5.400","5.370","0.56%"
"08/27/2025","5.370","5.370","5.370","5.370","0.00%"
"08/26/2025","5.370","5.380","5.380","5.370","-0.19%"
"08/25/2025","5.380","5.440","5.440","5.380","-1.10%"
"08/22/2025","5.440","5.450","5.450","5.440","-0.18%"
"08/21/2025","5.450","5.450","5.450","5.450","0.00%"
"08/19/2025","5.450","5.410","5.450","5.410","0.74%"
"08/18/2025","5.410","5.410","5.410","5.410","4.44%"
"08/15/2025","5.180","5.180","5.180","5.180","-0.19%"
"08/14/2025","5.190","5.220","5.220","5.190","-0.57%"
"08/13/2025","5.220","5.270","5.270","5.220","-0.95%"
"08/12/2025","5.270","5.250","5.270","5.250","0.38%"
"08/11/2025","5.250","5.230","5.250","5.230","0.38%"
"08/08/2025","5.230","5.210","5.230","5.210","0.38%"
"08/07/2025","5.210","5.170","5.210","5.170","0.77%"
"08/06/2025","5.170","5.140","5.170","5.140","0.58%"
"08/05/2025","5.140","5.160","5.160","5.140","-0.39%"
"08/04/2025","5.160","5.250","5.250","5.160","-1.71%"
"08/01/2025","5.250","5.260","5.260","5.250","-0.19%"
"07/31/2025","5.260","5.260","5.260","5.260","0.00%"
"07/30/2025","5.260","5.270","5.270","5.260","-0.19%"
"07/29/2025","5.270","5.270","5.270","5.270","0.00%"
"07/28/2025","5.270","5.280","5.280","5.270","-0.19%"
"07/25/2025","5.280","5.280","5.280","5.280","-0.56%"
"07/24/2025","5.310","5.300","5.310","5.300","0.19%"
"07/23/2025","5.300","5.350","5.350","5.300","-0.93%"
"07/22/2025","5.350","5.390","5.390","5.350","-0.74%"
"07/21/2025","5.390","5.370","5.390","5.370","0.37%"
"07/18/2025","5.370","5.340","5.370","5.340","0.56%"
"07/17/2025","5.340","5.340","5.340","5.340","0.00%"
"07/16/2025","5.340","5.340","5.340","5.340","1.33%"
"07/15/2025","5.270","5.270","5.270","5.270","0.00%"
"07/14/2025","5.270","5.270","5.270","5.270","0.00%"
"07/11/2025","5.270","5.260","5.270","5.260","0.19%"
"07/10/2025","5.260","5.250","5.260","5.250","0.19%"
"07/09/2025","5.250","5.230","5.250","5.230","0.38%"
"07/08/2025","5.230","5.270","5.270","5.230","2.55%"
"07/07/2025","5.100","5.120","5.120","5.100","-0.39%"
"07/04/2025","5.120","5.120","5.120","5.120","0.59%"
