"Date","Price","Open","High","Low","Change %"
"08/29/2025","1.749","1.794","1.794","1.745","-0.51%"
"08/28/2025","1.758","1.755","1.790","1.745","0.80%"
"08/27/2025","1.744","1.779","1.780","1.733","-1.08%"
"08/26/2025","1.763","1.781","1.781","1.743","-0.11%"
"08/25/2025","1.765","1.794","1.794","1.745","0.00%"
"08/22/2025","1.765","1.789","1.800","1.738","0.97%"
"08/21/2025","1.748","1.788","1.810","1.743","-0.85%"
"08/20/2025","1.763","1.755","1.805","1.725","1.32%"
"08/19/2025","1.740","1.768","1.785","1.735","-1.97%"
"08/18/2025","1.775","1.734","1.778","1.733","2.60%"
"08/15/2025","1.730","1.739","1.739","1.688","1.47%"
"08/14/2025","1.705","1.724","1.724","1.685","0.59%"
"08/13/2025","1.695","1.724","1.724","1.685","-0.88%"
"08/12/2025","1.710","1.719","1.720","1.680","2.15%"
"08/11/2025","1.674","1.715","1.735","1.663","1.89%"
"08/08/2025","1.643","1.668","1.668","1.630","0.12%"
"08/07/2025","1.641","1.685","1.685","1.627","-0.85%"
"08/06/2025","1.655","1.690","1.690","1.635","-0.06%"
"08/05/2025","1.656","1.695","1.695","1.640","-0.48%"
"08/04/2025","1.664","1.771","1.771","1.630","0.42%"
"08/01/2025","1.657","1.700","1.700","1.648","-1.43%"
"07/31/2025","1.681","1.696","1.696","1.660","-0.77%"
"07/30/2025","1.694","1.750","1.750","1.690","0.65%"
"07/29/2025","1.683","1.710","1.710","1.673","-0.24%"
"07/28/2025","1.687","1.720","1.720","1.665","-0.06%"
"07/25/2025","1.688","1.743","1.743","1.676","-0.30%"
"07/24/2025","1.693","1.696","1.697","1.658","2.86%"
"07/23/2025","1.646","1.683","1.683","1.639","0.43%"
"07/22/2025","1.639","1.667","1.667","1.611","1.17%"
"07/21/2025","1.620","1.644","1.644","1.612","0.43%"
"07/18/2025","1.613","1.649","1.649","1.600","0.75%"
"07/17/2025","1.601","1.648","1.648","1.596","-0.06%"
"07/16/2025","1.602","1.645","1.645","1.593","-1.35%"
"07/15/2025","1.624","1.656","1.656","1.596","0.50%"
"07/14/2025","1.616","1.645","1.645","1.615","0.37%"
"07/11/2025","1.610","1.638","1.638","1.600","0.56%"
"07/10/2025","1.601","1.620","1.620","1.582","1.20%"
"07/09/2025","1.582","1.616","1.616","1.579","-0.13%"
"07/08/2025","1.584","1.610","1.610","1.573","0.44%"
"07/07/2025","1.577","1.617","1.617","1.567","0.45%"
"07/04/2025","1.570","1.575","1.615","1.571","0.00%"
"07/03/2025","1.570","1.620","1.620","1.565","0.00%"
"07/02/2025","1.570","1.630","1.630","1.577","-1.26%"
"07/01/2025","1.590","1.633","1.633","1.588","0.00%"
"06/30/2025","1.590","1.623","1.623","1.583","0.63%"
"06/27/2025","1.580","1.623","1.623","1.576","-0.63%"
"06/26/2025","1.590","1.630","1.630","1.586","0.63%"
