"Date","Price","Open","High","Low","Change %"
"08/29/2025","10.811","10.799","10.860","10.799","-0.12%"
"08/28/2025","10.824","10.703","10.824","10.670","0.72%"
"08/27/2025","10.747","10.747","10.753","10.721","0.37%"
"08/26/2025","10.707","10.719","10.719","10.683","-0.12%"
"08/25/2025","10.720","10.645","10.720","10.645","0.08%"
"08/22/2025","10.711","10.666","10.711","10.658","0.20%"
"08/21/2025","10.690","10.650","10.715","10.650","0.29%"
"08/20/2025","10.659","10.706","10.720","10.659","-1.08%"
"08/19/2025","10.775","10.779","10.779","10.769","0.04%"
"08/15/2025","10.771","10.760","10.771","10.730","0.35%"
"08/14/2025","10.733","10.700","10.777","10.695","0.68%"
"08/13/2025","10.660","10.615","10.670","10.583","0.41%"
"08/12/2025","10.616","10.713","10.740","10.616","-0.79%"
"08/11/2025","10.700","10.799","10.799","10.700","-0.17%"
"08/08/2025","10.718","10.620","10.723","10.614","1.39%"
"08/06/2025","10.571","10.513","10.610","10.504","-0.06%"
"08/05/2025","10.577","10.653","10.659","10.550","-0.74%"
"08/04/2025","10.656","10.690","10.729","10.656","-1.27%"
"08/01/2025","10.793","10.700","10.799","10.670","1.01%"
"07/31/2025","10.685","10.699","10.703","10.650","-0.01%"
"07/30/2025","10.686","10.661","10.693","10.640","0.42%"
"07/29/2025","10.641","10.695","10.730","10.640","-0.43%"
"07/28/2025","10.687","10.729","10.753","10.687","-0.20%"
"07/25/2025","10.708","10.729","10.738","10.672","-0.07%"
"07/24/2025","10.716","10.782","10.782","10.708","0.09%"
"07/23/2025","10.706","10.710","10.744","10.693","0.07%"
"07/22/2025","10.699","10.600","10.699","10.554","0.93%"
"07/21/2025","10.600","10.661","10.725","10.594","-0.93%"
"07/18/2025","10.700","10.782","10.782","10.700","-1.26%"
"07/17/2025","10.837","10.865","10.880","10.790","-0.14%"
"07/16/2025","10.852","10.900","10.912","10.852","-0.26%"
"07/15/2025","10.880","10.900","10.900","10.853","-0.11%"
"07/14/2025","10.892","10.931","10.949","10.892","-0.44%"
"07/11/2025","10.940","10.947","10.960","10.938","0.11%"
"07/10/2025","10.928","10.940","10.969","10.928","-0.30%"
"07/09/2025","10.961","11.044","11.044","10.961","-0.69%"
"07/08/2025","11.037","10.990","11.052","10.941","0.43%"
"07/07/2025","10.990","11.049","11.049","10.974","0.73%"
"07/04/2025","10.910","10.938","10.938","10.900","0.09%"
"07/03/2025","10.900","10.909","10.934","10.899","-0.39%"
"07/02/2025","10.943","11.000","11.000","10.903","-0.52%"
"07/01/2025","11.000","11.080","11.085","10.996","-0.34%"
"06/27/2025","11.038","11.057","11.057","10.980","0.53%"
"06/26/2025","10.980","11.044","11.069","10.980","-1.08%"
"06/25/2025","11.100","11.150","11.150","11.041","-0.11%"
"06/24/2025","11.112","11.090","11.130","11.090","-0.24%"
"06/20/2025","11.139","11.087","11.146","11.052","0.38%"
"06/19/2025","11.097","11.036","11.148","11.036","0.27%"
"06/18/2025","11.067","11.100","11.130","11.000","-0.85%"
"06/17/2025","11.162","11.157","11.231","11.153","-0.12%"
"06/16/2025","11.175","11.120","11.190","11.120","-0.66%"
"06/13/2025","11.249","11.277","11.292","11.221","-0.42%"
"06/12/2025","11.297","11.367","11.367","11.294","-0.47%"
"06/11/2025","11.350","11.290","11.350","11.284","0.87%"
"06/10/2025","11.252","11.179","11.299","11.179","0.20%"
"06/09/2025","11.230","11.159","11.281","11.159","0.72%"
"06/06/2025","11.150","10.999","11.180","10.999","1.08%"
"06/05/2025","11.031","10.985","11.045","10.980","1.00%"
"06/04/2025","10.922","10.942","10.983","10.922","-0.32%"
"06/03/2025","10.957","10.955","10.959","10.931","0.25%"
"05/30/2025","10.930","11.011","11.013","10.920","-0.21%"
"05/29/2025","10.953","11.007","11.015","10.953","-0.61%"
"05/28/2025","11.020","11.070","11.074","11.020","-0.03%"
"05/27/2025","11.023","10.990","11.037","10.990","-0.31%"
"05/26/2025","11.057","11.040","11.057","11.038","0.15%"
"05/23/2025","11.040","11.064","11.064","11.025","0.09%"
"05/22/2025","11.030","11.004","11.030","10.985","0.09%"
"05/21/2025","11.020","10.979","11.035","10.960","0.53%"
"05/20/2025","10.962","11.100","11.100","10.962","-0.25%"
"05/19/2025","10.990","10.981","10.998","10.970","0.46%"
"05/16/2025","10.940","10.917","10.949","10.917","0.39%"
"05/15/2025","10.898","10.812","10.917","10.812","0.35%"
"05/14/2025","10.860","10.891","10.905","10.852","0.55%"
"05/13/2025","10.801","10.810","10.810","10.770","0.45%"
"05/12/2025","10.753","10.730","10.770","10.730","0.48%"
"05/09/2025","10.702","10.672","10.702","10.663","0.54%"
"05/08/2025","10.645","10.620","10.645","10.570","0.18%"
"05/07/2025","10.626","10.650","10.679","10.626","-0.39%"
"05/06/2025","10.668","10.711","10.711","10.668","13.28%"
"05/05/2025","9.417","9.499","9.499","9.407","-0.04%"
"05/02/2025","9.421","9.450","9.512","9.401","-2.27%"
"04/30/2025","9.640","9.738","9.738","9.605","-0.55%"
"04/29/2025","9.693","9.700","9.700","9.639","0.20%"
"04/28/2025","9.674","9.720","9.765","9.674","0.98%"
