"Date","Price","Open","High","Low","Change %"
"08/29/2025","3.512","3.484","3.515","3.474","1.11%"
"08/28/2025","3.474","3.496","3.508","3.471","-1.37%"
"08/27/2025","3.522","3.490","3.540","3.481","0.65%"
"08/26/2025","3.499","3.507","3.530","3.492","-0.05%"
"08/25/2025","3.501","3.440","3.503","3.435","2.48%"
"08/22/2025","3.416","3.470","3.473","3.411","-1.32%"
"08/21/2025","3.462","3.411","3.467","3.404","1.43%"
"08/20/2025","3.413","3.430","3.441","3.407","-0.79%"
"08/19/2025","3.441","3.454","3.468","3.431","-0.34%"
"08/18/2025","3.452","3.462","3.466","3.418","-0.44%"
"08/15/2025","3.467","3.372","3.467","3.368","2.75%"
"08/14/2025","3.375","3.336","3.375","3.308","1.14%"
"08/13/2025","3.336","3.396","3.398","3.332","-2.12%"
"08/12/2025","3.408","3.363","3.426","3.358","1.57%"
"08/11/2025","3.356","3.335","3.364","3.315","0.23%"
"08/08/2025","3.348","3.307","3.362","3.299","1.47%"
"08/07/2025","3.300","3.319","3.334","3.286","-0.52%"
"08/06/2025","3.317","3.293","3.329","3.292","0.97%"
"08/05/2025","3.285","3.283","3.313","3.259","0.04%"
"08/04/2025","3.284","3.354","3.371","3.283","-1.98%"
"08/01/2025","3.350","3.382","3.405","3.307","0.09%"
"07/31/2025","3.347","3.327","3.364","3.327","-0.33%"
"07/30/2025","3.358","3.346","3.373","3.330","0.21%"
"07/29/2025","3.351","3.357","3.375","3.333","0.09%"
"07/28/2025","3.348","3.378","3.382","3.339","-1.09%"
"07/25/2025","3.385","3.398","3.443","3.385","0.36%"
"07/24/2025","3.373","3.327","3.377","3.322","3.06%"
"07/23/2025","3.273","3.284","3.294","3.263","0.25%"
"07/22/2025","3.265","3.306","3.319","3.257","-0.97%"
"07/21/2025","3.297","3.364","3.365","3.288","-2.92%"
"07/18/2025","3.396","3.393","3.407","3.387","0.41%"
"07/17/2025","3.382","3.391","3.416","3.370","-0.06%"
"07/16/2025","3.384","3.402","3.422","3.371","-0.70%"
"07/15/2025","3.408","3.418","3.426","3.365","-0.73%"
"07/14/2025","3.433","3.409","3.442","3.408","0.50%"
"07/11/2025","3.416","3.381","3.423","3.378","0.41%"
"07/10/2025","3.402","3.349","3.403","3.339","1.31%"
"07/09/2025","3.358","3.358","3.366","3.341","-0.15%"
"07/08/2025","3.363","3.330","3.386","3.330","1.23%"
"07/07/2025","3.322","3.269","3.327","3.262","1.31%"
"07/04/2025","3.279","3.264","3.283","3.244","0.15%"
"07/03/2025","3.274","3.316","3.319","3.273","-1.27%"
"07/02/2025","3.316","3.254","3.335","3.250","1.97%"
"07/01/2025","3.252","3.260","3.264","3.220","-1.09%"
"06/30/2025","3.288","3.261","3.290","3.246","0.77%"
"06/27/2025","3.263","3.236","3.295","3.231","0.55%"
"06/26/2025","3.245","3.232","3.258","3.224","-0.32%"
"06/25/2025","3.256","3.229","3.278","3.196","0.20%"
"06/24/2025","3.249","3.218","3.283","3.213","0.68%"
"06/23/2025","3.227","3.291","3.292","3.220","-0.49%"
"06/20/2025","3.243","3.235","3.273","3.231","-0.89%"
"06/19/2025","3.272","3.255","3.274","3.240","1.77%"
"06/18/2025","3.215","3.248","3.270","3.212","-1.11%"
"06/17/2025","3.251","3.264","3.272","3.217","0.71%"
"06/16/2025","3.228","3.257","3.303","3.216","-0.86%"
"06/13/2025","3.256","3.161","3.260","3.161","2.28%"
"06/12/2025","3.184","3.221","3.223","3.177","-1.41%"
"06/11/2025","3.229","3.218","3.239","3.196","0.69%"
"06/10/2025","3.207","3.235","3.240","3.195","-0.93%"
"06/09/2025","3.237","3.238","3.272","3.176","-0.11%"
"06/06/2025","3.240","3.251","3.256","3.209","-0.69%"
"06/05/2025","3.263","3.203","3.270","3.159","1.81%"
"06/04/2025","3.205","3.187","3.207","3.174","0.50%"
"06/03/2025","3.189","3.154","3.190","3.151","-0.14%"
"06/02/2025","3.194","3.182","3.226","3.172","0.92%"
"05/30/2025","3.164","3.179","3.205","3.164","-0.33%"
"05/29/2025","3.175","3.246","3.267","3.176","-1.57%"
"05/28/2025","3.226","3.226","3.240","3.207","0.48%"
"05/27/2025","3.210","3.221","3.230","3.191","-0.83%"
"05/26/2025","3.237","3.277","3.296","3.236","-0.98%"
"05/23/2025","3.269","3.303","3.318","3.242","-1.33%"
"05/22/2025","3.313","3.332","3.349","3.309","0.26%"
"05/21/2025","3.305","3.297","3.343","3.277","1.43%"
"05/20/2025","3.258","3.240","3.279","3.227","0.09%"
"05/19/2025","3.255","3.271","3.329","3.245","-0.21%"
"05/16/2025","3.262","3.270","3.272","3.237","-1.00%"
"05/15/2025","3.295","3.374","3.374","3.294","-2.50%"
"05/14/2025","3.379","3.355","3.382","3.330","0.79%"
"05/13/2025","3.353","3.331","3.356","3.330","0.89%"
"05/12/2025","3.323","3.292","3.334","3.292","1.81%"
