"Date","Price","Open","High","Low","Change %"
"08/29/2025","2.544","2.518","2.547","2.517","0.87%"
"08/28/2025","2.522","2.516","2.539","2.502","0.26%"
"08/27/2025","2.516","2.546","2.557","2.507","-1.18%"
"08/26/2025","2.546","2.585","2.585","2.542","-1.60%"
"08/25/2025","2.587","2.576","2.610","2.568","1.57%"
"08/22/2025","2.547","2.580","2.595","2.546","-1.44%"
"08/21/2025","2.584","2.555","2.595","2.538","1.44%"
"08/20/2025","2.547","2.586","2.591","2.542","-1.40%"
"08/19/2025","2.584","2.598","2.613","2.579","-0.83%"
"08/18/2025","2.605","2.617","2.617","2.574","-0.21%"
"08/15/2025","2.611","2.536","2.611","2.534","2.75%"
"08/14/2025","2.541","2.520","2.547","2.493","0.91%"
"08/13/2025","2.518","2.575","2.581","2.512","-2.36%"
"08/12/2025","2.579","2.535","2.593","2.531","1.61%"
"08/11/2025","2.538","2.528","2.542","2.502","0.35%"
"08/08/2025","2.529","2.479","2.536","2.473","2.03%"
"08/07/2025","2.479","2.494","2.506","2.464","-0.19%"
"08/06/2025","2.484","2.465","2.491","2.464","0.82%"
"08/05/2025","2.463","2.460","2.489","2.444","-0.26%"
"08/04/2025","2.470","2.519","2.538","2.467","-1.92%"
"08/01/2025","2.518","2.542","2.578","2.478","-0.75%"
"07/31/2025","2.537","2.543","2.552","2.517","-0.39%"
"07/30/2025","2.547","2.530","2.555","2.513","0.75%"
"07/29/2025","2.528","2.527","2.549","2.521","0.16%"
"07/28/2025","2.524","2.565","2.566","2.514","-1.10%"
"07/25/2025","2.552","2.549","2.604","2.541","0.91%"
"07/24/2025","2.529","2.509","2.542","2.489","4.07%"
"07/23/2025","2.430","2.423","2.458","2.422","0.37%"
"07/22/2025","2.421","2.448","2.463","2.417","-1.14%"
"07/21/2025","2.449","2.517","2.526","2.442","-2.93%"
"07/18/2025","2.523","2.511","2.536","2.511","0.56%"
"07/17/2025","2.509","2.529","2.541","2.494","-0.48%"
"07/16/2025","2.521","2.532","2.562","2.511","-1.14%"
"07/15/2025","2.550","2.559","2.560","2.506","-0.55%"
"07/14/2025","2.564","2.561","2.572","2.541","0.12%"
"07/11/2025","2.561","2.533","2.569","2.518","0.95%"
"07/10/2025","2.537","2.500","2.541","2.488","1.24%"
"07/09/2025","2.506","2.521","2.527","2.496","-0.44%"
"07/08/2025","2.517","2.487","2.542","2.477","1.45%"
"07/07/2025","2.481","2.438","2.486","2.427","1.66%"
"07/04/2025","2.441","2.441","2.451","2.414","-0.59%"
"07/03/2025","2.455","2.495","2.500","2.447","-1.46%"
"07/02/2025","2.491","2.449","2.507","2.447","1.99%"
"07/01/2025","2.443","2.480","2.480","2.418","-1.13%"
"06/30/2025","2.471","2.460","2.478","2.440","-0.04%"
"06/27/2025","2.472","2.436","2.481","2.425","1.39%"
"06/26/2025","2.438","2.431","2.447","2.413","-0.08%"
"06/25/2025","2.440","2.425","2.458","2.386","1.01%"
"06/24/2025","2.415","2.398","2.452","2.383","1.02%"
"06/23/2025","2.391","2.411","2.443","2.383","-0.27%"
