"Date","Price","Open","High","Low","Change %"
"08/29/2025","3.215","3.219","3.238","3.215","-0.12%"
"08/28/2025","3.219","3.313","3.313","3.219","-2.84%"
"08/27/2025","3.313","3.269","3.313","3.269","1.35%"
"08/26/2025","3.269","3.242","3.278","3.242","0.83%"
"08/25/2025","3.242","3.254","3.254","3.223","-0.37%"
"08/22/2025","3.254","3.254","3.275","3.254","0.00%"
"08/21/2025","3.254","3.226","3.254","3.226","0.31%"
"08/20/2025","3.244","3.270","3.270","3.244","-0.95%"
"08/19/2025","3.275","3.203","3.286","3.203","2.25%"
"08/18/2025","3.203","3.212","3.212","3.192","-0.28%"
"08/15/2025","3.212","3.093","3.212","3.093","3.85%"
"08/14/2025","3.093","3.140","3.140","3.093","-1.50%"
"08/13/2025","3.140","3.109","3.145","3.109","1.00%"
"08/12/2025","3.109","3.099","3.116","3.099","0.32%"
"08/11/2025","3.099","3.089","3.107","3.089","0.32%"
"08/08/2025","3.089","3.099","3.122","3.089","-0.32%"
"08/07/2025","3.099","3.098","3.108","3.098","0.03%"
"08/06/2025","3.098","3.108","3.108","3.097","-0.32%"
"08/05/2025","3.108","3.108","3.108","3.098","0.00%"
"08/04/2025","3.108","3.137","3.137","3.083","-2.48%"
"08/01/2025","3.187","3.175","3.187","3.175","0.38%"
"07/31/2025","3.175","3.186","3.186","3.175","0.00%"
"07/30/2025","3.175","3.155","3.175","3.155","-0.69%"
"07/29/2025","3.197","3.197","3.197","3.197","0.00%"
"07/28/2025","3.197","3.197","3.197","3.197","-1.84%"
"07/25/2025","3.257","3.226","3.257","3.226","0.62%"
"07/24/2025","3.237","3.226","3.237","3.226","0.34%"
"07/23/2025","3.226","3.189","3.226","3.189","-0.49%"
"07/22/2025","3.242","3.210","3.242","3.210","1.00%"
"07/21/2025","3.210","3.211","3.211","3.210","-0.93%"
"07/18/2025","3.240","3.313","3.313","3.240","-2.50%"
"07/17/2025","3.323","3.312","3.323","3.303","0.33%"
"07/16/2025","3.312","3.278","3.312","3.278","1.04%"
"07/15/2025","3.278","3.269","3.278","3.269","0.28%"
"07/14/2025","3.269","3.198","3.269","3.198","2.22%"
"07/11/2025","3.198","3.130","3.198","3.130","2.17%"
"07/10/2025","3.130","3.183","3.183","3.130","-1.67%"
"07/09/2025","3.183","3.183","3.183","3.183","-0.06%"
"07/08/2025","3.185","3.154","3.185","3.154","0.98%"
"07/07/2025","3.154","3.144","3.154","3.135","1.69%"
"07/04/2025","3.102","3.053","3.156","3.053","3.01%"
"07/03/2025","3.011","3.088","3.088","3.053","-1.78%"
"07/02/2025","3.066","3.080","3.108","3.080","-0.47%"
"07/01/2025","3.080","3.080","3.080","3.080","1.38%"
"06/30/2025","3.038","3.080","3.080","3.080","-1.48%"
"06/27/2025","3.083","3.170","3.170","3.126","-1.41%"
"06/26/2025","3.128","3.200","3.211","3.170","-0.93%"
"06/25/2025","3.157","3.210","3.210","3.200","-0.66%"
"06/24/2025","3.178","3.271","3.271","3.221","-1.55%"
"06/23/2025","3.228","3.272","3.272","3.261","-0.03%"
"06/20/2025","3.229","3.261","3.272","3.261","0.34%"
"06/19/2025","3.218","3.252","3.261","3.248","0.28%"
"06/18/2025","3.209","3.252","3.252","3.252","-0.83%"
"06/17/2025","3.236","3.300","3.300","3.279","-0.64%"
"06/16/2025","3.257","3.218","3.300","3.218","2.58%"
"06/13/2025","3.175","3.278","3.278","3.208","-1.85%"
"06/12/2025","3.235","3.306","3.306","3.242","-0.86%"
"06/11/2025","3.263","3.267","3.306","3.267","1.21%"
"06/10/2025","3.224","3.292","3.292","3.267","-0.77%"
"06/09/2025","3.249","3.231","3.334","3.231","1.91%"
"06/06/2025","3.188","3.241","3.260","3.231","-0.31%"
"06/05/2025","3.198","3.310","3.310","3.237","-2.11%"
"06/04/2025","3.267","3.255","3.310","3.255","1.71%"
"06/03/2025","3.212","3.213","3.266","3.213","1.31%"
"06/02/2025","3.171","3.164","3.213","3.164","1.57%"
"05/30/2025","3.122","3.246","3.246","3.164","-2.54%"
"05/29/2025","3.203","3.256","3.256","3.246","-0.31%"
"05/28/2025","3.213","3.298","3.298","3.256","-1.29%"
"05/27/2025","3.255","3.329","3.329","3.298","-0.94%"
"05/26/2025","3.286","3.332","3.332","3.319","-0.09%"
"05/23/2025","3.289","3.388","3.388","3.332","-1.66%"
"05/22/2025","3.345","3.357","3.388","3.357","0.94%"
"05/21/2025","3.313","3.227","3.357","3.227","4.05%"
"05/20/2025","3.184","3.299","3.299","3.227","-2.20%"
"05/19/2025","3.256","3.237","3.299","3.237","1.93%"
"05/16/2025","3.194","3.330","3.330","3.237","-2.81%"
"05/15/2025","3.287","3.244","3.330","3.244","2.67%"
"05/14/2025","3.201","3.265","3.265","3.244","-0.64%"
"05/13/2025","3.222","3.274","3.305","3.265","-0.28%"
"05/12/2025","3.231","3.260","3.280","3.260","0.44%"
"05/09/2025","3.217","3.174","3.260","3.174","2.73%"
"05/08/2025","3.132","3.235","3.235","3.174","-1.91%"
"05/07/2025","3.193","3.312","3.312","3.235","-2.34%"
"05/06/2025","3.269","3.353","3.388","3.312","-1.24%"
"05/02/2025","3.310","3.292","3.353","3.292","1.88%"
"04/30/2025","3.249","3.352","3.352","3.289","-1.81%"
"04/29/2025","3.309","3.393","3.393","3.352","-1.21%"
"04/28/2025","3.349","3.441","3.441","3.393","-1.41%"
"04/25/2025","3.398","3.452","3.452","3.441","-0.32%"
"04/24/2025","3.408","3.442","3.452","3.442","0.29%"
"04/23/2025","3.398","3.474","3.474","3.442","-0.93%"
"04/22/2025","3.431","3.433","3.474","3.433","1.21%"
"04/17/2025","3.389","3.396","3.433","3.396","1.10%"
"04/16/2025","3.352","3.502","3.502","3.396","-3.05%"
"04/15/2025","3.458","3.555","3.555","3.463","-1.51%"
"04/14/2025","3.511","3.494","3.555","3.494","1.75%"
"04/11/2025","3.451","3.453","3.494","3.453","1.20%"
"04/10/2025","3.409","3.430","3.453","3.430","0.68%"
"04/09/2025","3.386","3.316","3.435","3.316","3.47%"
"04/08/2025","3.273","3.152","3.326","3.152","5.24%"
"04/07/2025","3.110","3.327","3.327","3.130","-5.30%"
"04/03/2025","3.284","3.380","3.380","3.327","-3.03%"
"04/02/2025","3.386","3.419","3.430","3.419","0.31%"
"04/01/2025","3.376","3.409","3.419","3.409","0.30%"
"03/31/2025","3.366","3.510","3.510","3.392","-2.89%"
"03/28/2025","3.466","3.530","3.530","3.510","-0.57%"
"03/27/2025","3.486","3.521","3.530","3.521","0.26%"
"03/26/2025","3.477","3.512","3.521","3.512","-0.34%"
"03/25/2025","3.489","3.492","3.533","3.492","1.17%"
"03/24/2025","3.448","3.485","3.495","3.485","0.20%"
"03/21/2025","3.441","3.516","3.516","3.485","-0.89%"
"03/20/2025","3.473","3.547","3.547","3.516","-0.87%"
"03/19/2025","3.503","3.568","3.568","3.547","-0.60%"
"03/18/2025","3.524","3.558","3.568","3.558","0.28%"
"03/17/2025","3.514","3.503","3.558","3.503","1.58%"
"03/14/2025","3.460","3.505","3.505","3.474","-0.06%"
"03/13/2025","3.461","3.454","3.506","3.454","1.78%"
"03/12/2025","3.401","3.422","3.459","3.422","1.70%"
"03/11/2025","3.344","3.511","3.511","3.387","-3.56%"
"03/10/2025","3.467","3.481","3.511","3.481","0.87%"
"03/07/2025","3.438","3.584","3.584","3.481","-2.90%"
"03/06/2025","3.540","3.537","3.584","3.537","1.33%"
"03/05/2025","3.493","3.449","3.552","3.449","2.58%"
"03/04/2025","3.405","3.555","3.555","3.449","-3.00%"
