"Date","Price","Open","High","Low","Change %"
"08/29/2025","5.298","5.298","5.306","5.298","-0.15%"
"08/28/2025","5.306","5.334","5.337","5.295","-0.99%"
"08/27/2025","5.359","5.360","5.360","5.359","-0.07%"
"08/26/2025","5.363","5.367","5.371","5.363","-0.19%"
"08/25/2025","5.373","5.397","5.397","5.373","-0.57%"
"08/22/2025","5.404","5.404","5.404","5.404","-0.13%"
"08/21/2025","5.411","5.411","5.411","5.411","-0.39%"
"08/20/2025","5.432","5.432","5.432","5.432","-0.13%"
"08/19/2025","5.439","5.439","5.439","5.439","0.24%"
"08/15/2025","5.426","5.426","5.426","5.426","-0.20%"
"08/14/2025","5.437","5.564","5.564","5.432","-2.65%"
"08/13/2025","5.585","5.658","5.676","5.583","-1.60%"
"08/12/2025","5.676","5.715","5.715","5.656","-0.68%"
"08/11/2025","5.715","5.727","5.727","5.714","-0.16%"
"08/08/2025","5.724","5.734","5.734","5.724","0.00%"
"08/07/2025","5.724","5.733","5.733","5.724","-0.35%"
"08/06/2025","5.744","5.730","5.745","5.725","0.07%"
"08/05/2025","5.740","5.740","5.740","5.740","0.02%"
"08/04/2025","5.739","5.769","5.771","5.666","1.27%"
"08/01/2025","5.667","5.667","5.667","5.667","-0.23%"
"07/31/2025","5.680","5.678","5.680","5.673","-0.25%"
"07/30/2025","5.694","5.692","5.697","5.692","-0.11%"
"07/29/2025","5.700","5.698","5.707","5.696","-0.11%"
"07/28/2025","5.706","5.810","5.810","5.705","-0.14%"
"07/25/2025","5.714","5.714","5.714","5.714","0.02%"
"07/24/2025","5.713","5.815","5.815","5.713","-1.94%"
"07/23/2025","5.826","5.827","5.827","5.826","-0.03%"
"07/22/2025","5.828","5.833","5.833","5.828","-0.26%"
"07/21/2025","5.843","5.849","5.849","5.843","0.03%"
"07/18/2025","5.841","5.844","5.844","5.841","-0.03%"
"07/17/2025","5.843","5.844","5.861","5.841","-0.19%"
"07/16/2025","5.854","5.856","5.862","5.854","-0.07%"
"07/15/2025","5.858","5.926","5.926","5.858","-1.23%"
"07/14/2025","5.931","5.931","5.931","5.931","0.41%"
"07/11/2025","5.907","5.907","5.907","5.907","-0.08%"
"07/10/2025","5.912","5.912","5.912","5.912","-0.30%"
"07/09/2025","5.930","5.923","5.930","5.919","0.03%"
"07/08/2025","5.928","5.928","5.928","5.928","-0.10%"
"07/07/2025","5.934","5.968","5.968","5.934","0.77%"
"07/04/2025","5.889","5.935","5.940","5.935","-0.06%"
"07/03/2025","5.892","5.944","5.944","5.941","-0.26%"
"07/02/2025","5.907","5.956","5.963","5.956","-0.09%"
"07/01/2025","5.913","5.961","5.969","5.961","-0.13%"
"06/30/2025","5.920","6.004","6.004","5.965","-0.47%"
"06/26/2025","5.949","6.001","6.005","5.998","-0.26%"
"06/25/2025","5.964","6.014","6.016","6.011","-0.26%"
"06/24/2025","5.979","6.019","6.019","6.016","-0.08%"
"06/23/2025","5.984","6.038","6.073","5.961","0.95%"
"06/20/2025","5.928","5.964","5.966","5.964","0.08%"
"06/19/2025","5.923","5.989","5.989","5.970","-1.83%"
"06/18/2025","6.034","6.071","6.071","6.071","-0.07%"
"06/17/2025","6.037","6.111","6.111","6.075","1.83%"
"06/16/2025","5.929","6.309","6.309","5.992","-4.55%"
"06/13/2025","6.212","6.306","6.306","6.306","0.03%"
"06/12/2025","6.209","6.304","6.304","6.304","0.11%"
"06/11/2025","6.202","6.296","6.296","6.296","0.02%"
"06/10/2025","6.201","6.294","6.294","6.294","0.10%"
"06/05/2025","6.194","6.287","6.287","6.287","0.10%"
"06/04/2025","6.188","6.280","6.280","6.280","0.04%"
"06/03/2025","6.186","6.277","6.277","6.277","-0.06%"
"06/02/2025","6.190","6.280","6.280","6.280","0.16%"
"05/28/2025","6.180","6.270","6.270","6.270","-1.58%"
"05/27/2025","6.279","6.498","6.498","6.498","0.00%"
"05/26/2025","6.279","6.676","6.676","6.508","0.10%"
"05/23/2025","6.273","6.490","6.522","6.490","0.18%"
"05/22/2025","6.262","6.255","6.487","6.255","0.03%"
"05/21/2025","6.260","6.494","6.510","6.480","-0.10%"
"05/20/2025","6.266","6.507","6.507","6.484","0.18%"
"05/19/2025","6.255","6.653","6.653","6.466","-0.05%"
"05/16/2025","6.258","6.549","6.568","6.471","-0.42%"
"05/15/2025","6.285","6.565","6.565","6.565","0.17%"
"05/14/2025","6.274","6.637","6.637","6.459","0.32%"
"05/09/2025","6.254","6.463","6.463","6.451","-0.14%"
"05/08/2025","6.263","6.440","6.476","6.428","0.28%"
"05/07/2025","6.246","6.420","6.420","6.420","-0.18%"
"05/06/2025","6.257","6.431","6.446","6.418","0.28%"
"05/05/2025","6.240","6.610","6.610","6.430","0.08%"
"05/02/2025","6.234","6.607","6.607","6.403","0.27%"
"04/30/2025","6.218","6.325","6.362","6.325","0.30%"
"04/29/2025","6.200","6.423","6.424","6.319","-0.47%"
"04/28/2025","6.229","6.589","6.589","6.419","-0.14%"
"04/25/2025","6.238","6.477","6.587","6.420","-5.06%"
"04/24/2025","6.570","6.641","6.641","6.641","0.07%"
"04/23/2025","6.566","6.632","6.640","6.632","0.06%"
"04/22/2025","6.562","6.634","6.634","6.629","-2.14%"
"04/21/2025","6.706","6.787","6.787","6.787","2.28%"
"04/17/2025","6.556","6.624","6.633","6.624","0.07%"
"04/16/2025","6.551","6.746","6.746","6.622","-1.05%"
"04/15/2025","6.621","6.733","6.733","6.727","0.04%"
"04/14/2025","6.619","6.764","6.832","6.723","-1.92%"
"04/11/2025","6.748","6.846","6.846","6.771","1.76%"
"04/10/2025","6.631","6.915","6.927","6.763","-0.76%"
"04/09/2025","6.682","6.701","6.932","6.701","0.65%"
"04/08/2025","6.639","6.534","6.793","6.534","2.80%"
"03/27/2025","6.458","6.567","6.577","6.540","-0.08%"
"03/26/2025","6.463","6.564","6.619","6.555","-0.10%"
"03/25/2025","6.470","6.495","6.686","6.495","1.18%"
"03/24/2025","6.394","6.492","6.507","6.492","0.02%"
"03/21/2025","6.393","6.510","6.510","6.506","0.10%"
"03/20/2025","6.386","6.507","6.515","6.507","0.08%"
"03/19/2025","6.381","6.464","6.500","6.464","0.26%"
"03/18/2025","6.365","6.442","6.469","6.442","0.20%"
"03/17/2025","6.352","6.375","6.467","6.375","0.71%"
"03/14/2025","6.307","6.440","6.440","6.422","0.60%"
"03/13/2025","6.270","6.459","6.459","6.436","-0.78%"
"03/12/2025","6.319","6.428","6.460","6.428","0.15%"
"03/11/2025","6.310","6.458","6.458","6.426","-0.02%"
"03/10/2025","6.311","6.456","6.456","6.439","0.67%"
"03/07/2025","6.269","6.462","6.462","6.450","-0.02%"
"03/06/2025","6.271","6.451","6.473","6.403","-0.10%"
"03/05/2025","6.277","6.464","6.484","6.464","0.03%"
"03/04/2025","6.274","6.513","6.513","6.430","-2.06%"
"03/03/2025","6.406","6.391","6.508","6.391","-1.39%"
"02/28/2025","6.497","6.404","6.504","6.398","1.55%"
"02/27/2025","6.398","6.434","6.434","6.396","-0.30%"
"02/26/2025","6.417","6.384","6.428","6.366","0.77%"
"02/25/2025","6.368","6.374","6.374","6.368","0.02%"
"02/24/2025","6.367","6.376","6.376","6.367","-0.02%"
"02/21/2025","6.368","6.371","6.371","6.361","0.05%"
"02/20/2025","6.365","6.457","6.457","6.358","-1.39%"
"02/19/2025","6.455","6.460","6.460","6.455","-0.05%"
"02/18/2025","6.458","6.409","6.519","6.409","-0.74%"
"02/17/2025","6.506","6.545","6.548","6.490","-0.49%"
"02/14/2025","6.538","6.552","6.552","6.529","0.00%"
"02/13/2025","6.538","6.538","6.538","6.532","0.05%"
"02/12/2025","6.535","6.602","6.602","6.511","-0.67%"
"02/11/2025","6.579","6.683","6.702","6.567","-1.64%"
"02/10/2025","6.689","6.755","6.755","6.680","0.27%"
"02/07/2025","6.671","6.707","6.718","6.671","-0.49%"
"02/06/2025","6.704","6.812","6.812","6.697","-1.27%"
"02/05/2025","6.790","6.595","6.801","6.594","1.24%"
"02/04/2025","6.707","6.738","6.805","6.707","-0.56%"
"02/03/2025","6.745","6.735","6.801","6.735","-0.07%"
"01/31/2025","6.750","7.071","7.102","6.739","-4.50%"
"01/30/2025","7.068","6.998","7.068","6.998","-0.13%"
