"Date","Price","Open","High","Low","Change %"
"08/29/2025","2.017","2.052","2.059","1.963","-0.16%"
"08/28/2025","2.021","2.032","2.057","1.993","0.72%"
"08/27/2025","2.006","2.028","2.049","1.987","-0.17%"
"08/26/2025","2.010","2.047","2.047","1.988","-0.16%"
"08/25/2025","2.013","2.033","2.061","1.976","5.71%"
"08/22/2025","1.904","1.998","2.052","1.872","1.16%"
"08/21/2025","1.882","2.014","2.050","1.863","-6.72%"
"08/20/2025","2.018","1.947","2.039","1.947","6.99%"
"08/19/2025","1.886","1.971","2.050","1.879","0.99%"
"08/18/2025","1.868","2.034","2.044","1.837","1.00%"
"08/15/2025","1.849","1.960","2.043","1.824","-0.21%"
"08/14/2025","1.853","1.973","2.036","1.832","-8.86%"
"08/13/2025","2.033","1.973","2.035","1.832","0.04%"
"08/12/2025","2.032","1.951","2.043","1.642","7.65%"
"08/11/2025","1.888","1.964","2.045","1.863","1.03%"
"08/08/2025","1.868","2.102","2.138","1.868","-8.17%"
"08/07/2025","2.035","2.093","2.223","1.873","-2.05%"
"08/06/2025","2.077","1.949","2.234","1.426","6.96%"
"08/05/2025","1.942","1.949","2.217","1.845","5.55%"
"08/04/2025","1.840","2.026","2.203","1.820","-4.77%"
"08/01/2025","1.932","2.016","2.241","1.830","-3.93%"
"07/31/2025","2.011","2.110","2.237","1.943","1.98%"
"07/30/2025","1.972","1.999","2.259","1.872","-5.28%"
"07/29/2025","2.082","2.048","2.265","1.973","0.87%"
"07/28/2025","2.064","2.019","2.250","1.945","14.60%"
"07/25/2025","1.801","2.033","2.250","1.712","-10.93%"
"07/24/2025","2.022","1.974","2.217","1.834","0.70%"
"07/23/2025","2.008","1.980","2.191","1.881","5.41%"
"07/22/2025","1.905","2.021","2.202","1.801","0.05%"
"07/21/2025","1.904","2.074","2.202","1.801","-1.60%"
"07/18/2025","1.935","1.934","2.141","1.815","-1.43%"
"07/17/2025","1.963","1.937","2.216","1.812","0.93%"
"07/16/2025","1.945","2.189","2.241","1.820","-4.98%"
"07/15/2025","2.047","1.978","2.233","1.910","-1.40%"
"07/14/2025","2.076","1.992","2.257","1.965","4.27%"
"07/11/2025","1.991","2.028","2.252","1.972","-3.68%"
"07/10/2025","2.067","2.026","2.252","1.958","-4.31%"
"07/09/2025","2.160","2.032","2.233","1.955","9.53%"
"07/08/2025","1.972","2.056","2.240","1.948","-3.33%"
"07/07/2025","2.040","1.999","2.209","1.933","7.31%"
"07/04/2025","1.901","2.012","2.207","1.930","4.25%"
"07/03/2025","1.824","1.963","2.222","1.953","-5.27%"
"07/02/2025","1.925","1.979","2.230","1.955","5.51%"
"07/01/2025","1.824","2.052","2.231","1.951","-5.25%"
"06/30/2025","1.926","2.038","2.226","1.960","0.08%"
"06/27/2025","1.924","2.108","2.228","1.958","0.81%"
"06/26/2025","1.908","2.013","2.214","1.945","-0.47%"
"06/25/2025","1.918","2.014","2.233","1.905","-1.41%"
"06/24/2025","1.945","1.987","2.236","1.972","0.99%"
"06/23/2025","1.926","2.075","2.246","1.977","2.83%"
"06/20/2025","1.873","2.044","2.240","1.975","-3.35%"
"06/19/2025","1.938","2.054","2.241","1.980","0.00%"
"06/18/2025","1.938","2.040","2.246","1.979","1.41%"
"06/17/2025","1.911","1.987","2.235","1.955","4.74%"
"06/16/2025","1.824","2.113","2.227","1.882","-4.68%"
"06/13/2025","1.913","2.209","2.211","1.953","0.08%"
"06/12/2025","1.912","2.142","2.210","1.948","1.32%"
"06/11/2025","1.887","1.976","2.212","1.872","-1.90%"
"06/10/2025","1.923","2.101","2.212","1.963","0.00%"
"06/09/2025","1.923","2.013","2.173","1.951","-0.72%"
"06/06/2025","1.937","1.968","2.219","1.953","4.87%"
"06/05/2025","1.847","1.977","2.209","1.882","2.04%"
"06/04/2025","1.810","1.945","2.174","1.877","-4.31%"
"06/03/2025","1.891","1.999","2.166","1.929","-0.34%"
"06/02/2025","1.898","2.065","2.178","1.931","0.05%"
"05/30/2025","1.897","2.106","2.176","1.902","2.10%"
"05/29/2025","1.858","2.074","2.109","1.900","-0.13%"
"05/28/2025","1.860","2.083","2.145","1.898","0.57%"
"05/27/2025","1.850","1.958","2.130","1.874","-0.99%"
"05/26/2025","1.868","1.933","2.139","1.903","-1.16%"
"05/23/2025","1.890","1.971","2.166","1.846","0.29%"
"05/22/2025","1.885","1.969","2.168","1.923","-1.62%"
"05/21/2025","1.916","2.017","2.188","1.942","1.19%"
"05/20/2025","1.893","2.091","2.174","1.921","0.00%"
"05/19/2025","1.893","2.061","2.186","1.930","-0.26%"
"05/16/2025","1.898","1.958","2.168","1.932","2.79%"
"05/15/2025","1.847","2.170","2.189","1.883","0.76%"
"05/14/2025","1.832","2.151","2.151","1.872","-4.08%"
"05/13/2025","1.911","1.958","2.177","1.907","-1.37%"
"05/12/2025","1.937","1.924","2.170","1.896","4.65%"
"05/09/2025","1.851","1.930","2.071","1.857","3.49%"
"05/08/2025","1.788","1.844","2.037","1.813","0.90%"
"05/07/2025","1.773","1.870","2.013","1.806","-1.88%"
"05/06/2025","1.806","1.883","2.012","1.826","-1.07%"
"05/02/2025","1.826","1.842","2.013","1.812","4.73%"
"04/30/2025","1.743","1.855","1.976","1.739","-1.13%"
"04/29/2025","1.763","1.814","1.966","1.763","-0.11%"
"04/28/2025","1.765","1.839","1.975","1.776","-0.79%"
"04/25/2025","1.780","1.859","1.946","1.735","1.22%"
"04/24/2025","1.758","1.830","1.998","1.747","-1.12%"
"04/23/2025","1.778","1.841","2.015","1.779","3.16%"
"04/22/2025","1.724","1.796","1.958","1.719","-1.91%"
"04/17/2025","1.757","1.985","2.053","1.755","-1.84%"
"04/16/2025","1.790","1.860","2.028","1.800","-2.03%"
"04/15/2025","1.827","1.920","2.029","1.839","0.47%"
"04/14/2025","1.819","1.949","2.027","1.840","-0.33%"
"04/11/2025","1.824","1.928","2.043","1.803","0.72%"
"04/10/2025","1.811","2.024","2.140","1.844","-2.56%"
"04/09/2025","1.859","1.968","2.078","1.782","-4.42%"
"04/08/2025","1.945","2.003","2.189","1.961","3.40%"
"04/07/2025","1.881","1.930","2.110","1.867","-2.29%"
"04/04/2025","1.925","2.061","2.166","1.918","-4.66%"
"04/03/2025","2.019","2.040","2.200","2.024","-2.06%"
"04/02/2025","2.062","2.154","2.267","2.076","-1.67%"
"04/01/2025","2.096","2.254","2.272","2.099","-1.09%"
"03/31/2025","2.119","2.136","2.283","2.061","2.64%"
"03/28/2025","2.065","2.153","2.269","2.088","-0.36%"
"03/27/2025","2.072","2.189","2.282","2.100","-3.81%"
"03/26/2025","2.155","2.310","2.338","2.165","-0.53%"
"03/25/2025","2.166","2.218","2.340","2.180","0.19%"
"03/24/2025","2.162","2.340","2.346","2.167","0.75%"
"03/21/2025","2.146","2.262","2.350","2.183","-3.40%"
"03/20/2025","2.221","2.361","2.366","2.202","0.43%"
"03/19/2025","2.212","2.228","2.378","2.222","0.39%"
"03/18/2025","2.204","2.394","2.401","2.231","-0.45%"
"03/17/2025","2.214","2.256","2.395","2.238","-0.67%"
"03/14/2025","2.228","2.259","2.408","2.251","1.62%"
"03/13/2025","2.193","2.276","2.413","2.226","-1.81%"
"03/12/2025","2.234","2.294","2.434","2.255","0.52%"
"03/11/2025","2.222","2.281","2.420","2.241","0.63%"
"03/10/2025","2.208","2.378","2.457","2.227","-2.84%"
"03/07/2025","2.273","2.328","2.480","2.290","1.00%"
"03/06/2025","2.250","2.362","2.511","2.263","-1.45%"
"03/05/2025","2.283","2.237","2.479","2.199","9.21%"
"03/04/2025","2.091","2.179","2.231","2.104","-2.02%"
"03/03/2025","2.134","2.214","2.285","2.137","2.11%"
"02/28/2025","2.089","2.120","2.219","2.109","-2.13%"
"02/27/2025","2.135","2.180","2.239","2.135","-3.83%"
"02/26/2025","2.220","2.205","2.261","2.159","3.64%"
"02/25/2025","2.142","2.233","2.243","2.141","-2.33%"
"02/24/2025","2.193","2.246","2.281","2.167","-1.88%"
"02/21/2025","2.235","2.224","2.309","2.174","-0.09%"
"02/20/2025","2.237","2.259","2.337","2.228","0.22%"
"02/19/2025","2.232","2.273","2.313","2.200","1.82%"
"02/18/2025","2.192","2.233","2.310","2.192","-57.48%"
"02/17/2025","5.155","5.139","6.598","3.541","-20.75%"
"02/14/2025","6.505","6.459","6.535","3.566","31.37%"
"02/13/2025","4.952","6.362","6.435","3.573","-1.23%"
"02/12/2025","5.014","4.213","5.970","3.529","40.74%"
"02/11/2025","3.562","4.670","5.455","3.450","-21.16%"
"02/10/2025","4.519","4.170","5.385","3.377","-1.48%"
"02/07/2025","4.587","5.553","5.669","3.355","3.13%"
"02/06/2025","4.448","4.042","5.518","3.345","3.55%"
"02/05/2025","4.295","4.665","5.261","3.321","28.86%"
"02/04/2025","3.333","4.120","5.169","3.283","-20.41%"
"02/03/2025","4.188","4.450","5.091","3.248","0.04%"
"01/31/2025","4.186","4.734","5.046","3.272","0.71%"
"01/30/2025","4.157","3.835","5.003","3.266","2.59%"
"01/29/2025","4.052","4.240","4.828","3.226","0.58%"
"01/28/2025","4.029","3.813","4.803","3.239","-9.21%"
"01/27/2025","4.438","4.202","4.780","3.211","-6.08%"
"01/24/2025","4.725","3.795","4.725","3.215","46.04%"
"01/23/2025","3.235","4.268","4.689","3.212","-16.94%"
"01/22/2025","3.895","3.196","4.566","3.189","20.09%"
"01/21/2025","3.243","4.164","4.586","3.186","-17.52%"
"01/20/2025","3.932","4.037","4.549","3.177","2.04%"
"01/17/2025","3.854","4.012","4.506","3.182","-8.74%"
"01/16/2025","4.223","3.826","4.607","3.160","4.21%"
"01/15/2025","4.052","4.537","4.614","3.199","-6.80%"
"01/14/2025","4.348","3.766","4.605","3.172","15.64%"
"01/13/2025","3.760","4.412","4.480","3.164","0.00%"
"01/10/2025","3.760","3.984","4.456","3.163","17.63%"
"01/09/2025","3.197","3.814","4.469","3.185","-24.76%"
"01/08/2025","4.249","3.180","4.385","3.163","33.22%"
"01/07/2025","3.189","4.342","4.387","3.167","0.57%"
"01/06/2025","3.171","3.862","4.328","3.117","-22.10%"
"01/03/2025","4.071","4.141","4.293","3.116","30.23%"
"01/02/2025","3.126","3.089","4.232","3.089","13.30%"
"12/31/2024","2.759","2.759","2.759","2.759","-23.02%"
"12/30/2024","3.585","3.725","4.147","3.089","-2.15%"
"12/27/2024","3.663","3.717","4.167","3.088","35.44%"
"12/24/2024","2.705","2.705","0.000","2.705","-26.77%"
"12/23/2024","3.693","3.573","4.087","3.083","4.55%"
"12/20/2024","3.533","3.564","4.143","3.075","0.41%"
"12/19/2024","3.518","3.589","4.029","3.066","-12.03%"
"12/18/2024","4.000","3.656","4.016","3.075","12.85%"
"12/17/2024","3.544","3.540","3.888","3.067","1.58%"
"12/16/2024","3.489","3.440","3.949","3.043","0.13%"
"12/13/2024","3.485","3.481","3.964","3.055","13.14%"
"12/12/2024","3.080","3.820","4.048","3.068","-21.55%"
"12/11/2024","3.926","3.918","3.938","3.088","26.02%"
"12/10/2024","3.115","3.552","3.998","3.115","-11.71%"
"12/09/2024","3.528","3.517","4.269","3.088","0.56%"
"12/06/2024","3.509","3.096","4.234","3.081","1.21%"
"12/05/2024","3.467","3.947","4.256","3.092","-13.52%"
"12/04/2024","4.009","3.506","4.232","3.107","7.29%"
"12/03/2024","3.736","3.488","4.169","3.053","20.28%"
"12/02/2024","3.106","3.470","4.173","3.089","-14.96%"
"11/29/2024","3.653","3.837","4.134","3.054","4.45%"
"11/28/2024","3.497","3.462","4.180","3.096","2.42%"
"11/27/2024","3.415","3.445","4.126","3.096","-5.59%"
"11/26/2024","3.617","3.445","4.126","3.388","18.75%"
"11/25/2024","3.046","3.446","4.080","3.043","-9.52%"
"11/22/2024","3.366","3.492","4.058","3.027","-3.59%"
"11/21/2024","3.492","3.528","4.125","3.116","-5.17%"
"11/20/2024","3.682","3.762","4.110","3.128","6.55%"
"11/19/2024","3.456","3.500","4.098","3.131","-1.70%"
"11/18/2024","3.516","3.462","4.112","3.125","-12.79%"
"11/15/2024","4.031","3.565","4.056","3.115","18.11%"
"11/14/2024","3.413","3.444","4.131","3.093","0.14%"
"11/13/2024","3.408","3.432","4.019","3.097","10.06%"
"11/12/2024","3.097","3.832","3.996","3.091","-9.63%"
"11/11/2024","3.427","3.421","4.001","3.088","1.46%"
"11/08/2024","3.378","3.712","3.993","3.094","0.15%"
"11/07/2024","3.373","3.794","3.969","3.083","-3.71%"
"11/06/2024","3.503","3.401","3.954","3.078","3.24%"
"11/05/2024","3.393","3.550","3.970","3.100","-2.66%"
"11/04/2024","3.485","3.418","3.955","3.098","2.45%"
"11/01/2024","3.402","3.411","3.924","3.095","-4.42%"
"10/31/2024","3.560","3.395","3.937","3.106","5.64%"
"10/30/2024","3.369","3.372","3.919","3.090","-6.26%"
"10/29/2024","3.595","3.304","3.884","3.040","18.23%"
"10/28/2024","3.040","3.427","3.838","3.032","-14.75%"
"10/25/2024","3.566","3.451","3.838","3.036","8.43%"
"10/24/2024","3.289","3.281","3.817","3.013","1.13%"
"10/23/2024","3.252","3.296","3.826","3.005","-5.92%"
"10/22/2024","3.457","3.335","3.815","3.279","0.00%"
"10/21/2024","3.457","3.323","3.803","3.276","4.93%"
"10/18/2024","3.295","3.350","3.816","3.057","-2.54%"
"10/17/2024","3.380","3.355","3.864","3.063","-0.71%"
"10/16/2024","3.404","3.414","3.854","3.095","1.79%"
"10/15/2024","3.344","3.429","3.888","3.134","-1.16%"
"10/14/2024","3.384","3.427","3.887","3.153","0.69%"
"10/11/2024","3.361","3.727","3.870","3.132","-3.70%"
"10/10/2024","3.490","3.520","3.904","3.179","2.18%"
"10/09/2024","3.415","3.359","3.889","3.148","-0.62%"
"10/08/2024","3.437","3.392","3.898","3.168","1.42%"
"10/07/2024","3.388","3.393","3.895","3.170","-0.56%"
"10/04/2024","3.408","3.403","3.895","3.179","-1.07%"
"10/03/2024","3.444","3.770","3.906","3.197","7.03%"
"10/02/2024","3.218","3.468","3.919","3.214","-6.61%"
"10/01/2024","3.446","3.470","3.908","3.160","9.43%"
"09/30/2024","3.149","3.479","3.861","3.149","-11.99%"
"09/27/2024","3.578","3.532","3.815","3.149","4.40%"
"09/26/2024","3.427","3.440","3.868","3.205","1.23%"
"09/25/2024","3.385","3.692","3.835","3.180","0.23%"
"09/24/2024","3.378","3.558","3.846","3.172","-2.94%"
"09/23/2024","3.480","3.480","3.887","3.237","1.59%"
"09/20/2024","3.425","3.619","3.942","3.280","-2.92%"
"09/19/2024","3.528","3.493","3.939","3.290","7.66%"
