"Date","Price","Open","High","Low","Change %"
"08/29/2025","4.388","4.341","4.390","4.340","1.07%"
"08/28/2025","4.342","4.347","4.384","4.332","-0.76%"
"08/27/2025","4.375","4.363","4.393","4.331","0.39%"
"08/26/2025","4.358","4.361","4.387","4.352","-0.17%"
"08/25/2025","4.366","4.331","4.375","4.331","1.27%"
"08/22/2025","4.311","4.342","4.356","4.302","-0.80%"
"08/21/2025","4.346","4.283","4.346","4.283","1.13%"
"08/20/2025","4.297","4.312","4.321","4.291","-0.45%"
"08/19/2025","4.317","4.334","4.343","4.302","-0.19%"
"08/18/2025","4.325","4.352","4.353","4.286","-0.77%"
"08/15/2025","4.359","4.266","4.359","4.264","2.19%"
"08/14/2025","4.265","4.220","4.266","4.204","0.88%"
"08/13/2025","4.228","4.280","4.280","4.222","-1.55%"
"08/12/2025","4.294","4.247","4.308","4.241","1.25%"
"08/11/2025","4.241","4.228","4.244","4.205","-0.11%"
"08/08/2025","4.246","4.206","4.249","4.190","1.35%"
"08/07/2025","4.189","4.252","4.259","4.188","-1.37%"
"08/06/2025","4.248","4.225","4.260","4.221","0.72%"
"08/05/2025","4.217","4.205","4.225","4.182","0.13%"
"08/04/2025","4.212","4.287","4.299","4.212","-1.55%"
"08/01/2025","4.278","4.288","4.303","4.233","0.56%"
"07/31/2025","4.254","4.265","4.265","4.245","-1.00%"
"07/30/2025","4.297","4.281","4.304","4.264","0.42%"
"07/29/2025","4.279","4.275","4.298","4.267","0.00%"
"07/28/2025","4.279","4.281","4.294","4.265","-0.81%"
"07/25/2025","4.314","4.321","4.354","4.305","0.26%"
"07/24/2025","4.303","4.300","4.313","4.271","1.27%"
"07/23/2025","4.249","4.242","4.251","4.237","0.54%"
"07/22/2025","4.226","4.229","4.249","4.220","0.17%"
"07/21/2025","4.219","4.264","4.268","4.218","-1.70%"
"07/18/2025","4.292","4.279","4.301","4.274","0.52%"
"07/17/2025","4.270","4.291","4.310","4.259","-0.35%"
"07/16/2025","4.285","4.286","4.295","4.253","0.14%"
"07/15/2025","4.279","4.273","4.284","4.234","-0.47%"
"07/14/2025","4.299","4.283","4.302","4.275","0.49%"
"07/11/2025","4.278","4.251","4.290","4.251","0.45%"
"07/10/2025","4.259","4.207","4.261","4.204","0.95%"
"07/09/2025","4.219","4.221","4.222","4.200","-0.09%"
"07/08/2025","4.223","4.207","4.240","4.201","0.98%"
"07/07/2025","4.182","4.143","4.189","4.135","1.37%"
"07/04/2025","4.126","4.115","4.153","4.109","0.27%"
"07/03/2025","4.115","4.141","4.161","4.126","-0.68%"
"07/02/2025","4.142","4.122","4.193","4.115","1.31%"
"07/01/2025","4.089","4.097","4.108","4.067","-0.63%"
"06/30/2025","4.115","4.103","4.132","4.089","0.48%"
"06/27/2025","4.095","4.110","4.151","4.109","-0.49%"
"06/26/2025","4.115","4.099","4.138","4.093","0.21%"
"06/25/2025","4.107","4.070","4.137","4.062","0.64%"
"06/24/2025","4.081","4.053","4.124","4.050","0.54%"
"06/23/2025","4.059","4.120","4.128","4.064","-0.34%"
"06/20/2025","4.073","4.063","4.108","4.058","-0.38%"
"06/19/2025","4.089","4.075","4.115","4.068","1.49%"
"06/18/2025","4.029","4.080","4.104","4.044","-0.75%"
"06/17/2025","4.059","4.075","4.091","4.045","0.69%"
"06/16/2025","4.031","4.077","4.107","4.037","-0.62%"
"06/13/2025","4.056","4.021","4.072","4.011","1.44%"
"06/12/2025","3.999","4.028","4.038","4.011","-1.37%"
"06/11/2025","4.054","4.041","4.072","4.037","0.93%"
"06/10/2025","4.016","4.066","4.066","4.026","-1.24%"
"06/09/2025","4.067","4.061","4.112","4.024","0.10%"
"06/06/2025","4.063","4.102","4.102","4.059","-1.08%"
"06/05/2025","4.108","4.091","4.131","4.051","0.09%"
"06/04/2025","4.104","4.124","4.136","4.104","-0.15%"
"06/03/2025","4.110","4.118","4.134","4.108","-0.57%"
"06/02/2025","4.134","4.138","4.170","4.135","0.80%"
"05/30/2025","4.101","4.098","4.145","4.098","0.07%"
"05/29/2025","4.097","4.165","4.179","4.109","-0.94%"
"05/28/2025","4.136","4.147","4.157","4.121","0.44%"
"05/27/2025","4.119","4.153","4.159","4.130","-1.21%"
"05/26/2025","4.169","4.231","4.243","4.182","-1.17%"
"05/23/2025","4.219","4.248","4.258","4.216","-0.95%"
"05/22/2025","4.259","4.250","4.308","4.250","0.78%"
"05/21/2025","4.226","4.211","4.272","4.202","1.27%"
"05/20/2025","4.173","4.132","4.198","4.098","1.38%"
"05/19/2025","4.116","4.140","4.209","4.119","0.00%"
"05/16/2025","4.116","4.121","4.131","4.102","-0.60%"
"05/15/2025","4.141","4.212","4.221","4.154","-1.72%"
"05/14/2025","4.214","4.213","4.228","4.189","0.17%"
"05/13/2025","4.207","4.190","4.233","4.189","0.91%"
"05/12/2025","4.168","4.182","4.188","4.171","0.43%"
"05/09/2025","4.150","4.161","4.185","4.155","0.59%"
"05/08/2025","4.126","4.099","4.141","4.090","0.88%"
"05/07/2025","4.090","4.168","4.168","4.101","-1.64%"
"05/06/2025","4.158","4.158","4.195","4.156","0.54%"
"05/05/2025","4.135","4.142","4.163","4.131","0.02%"
"05/02/2025","4.135","4.110","4.161","4.094","1.51%"
"04/30/2025","4.073","4.115","4.116","4.085","-0.88%"
"04/29/2025","4.109","4.113","4.129","4.102","-0.09%"
"04/28/2025","4.113","4.091","4.130","4.090","0.71%"
"04/25/2025","4.083","4.064","4.103","4.063","0.67%"
"04/24/2025","4.056","4.116","4.120","4.066","-1.39%"
"04/23/2025","4.114","4.115","4.133","4.094","0.37%"
"04/22/2025","4.098","4.159","4.165","4.111","-1.06%"
"04/17/2025","4.142","4.158","4.184","4.138","-0.10%"
"04/16/2025","4.147","4.116","4.162","4.107","0.29%"
"04/15/2025","4.135","4.084","4.164","4.078","1.25%"
"04/14/2025","4.083","4.142","4.143","4.088","-1.87%"
