"Date","Price","Open","High","Low","Change %"
"08/29/2025","1.567","1.574","1.584","1.565","-1.01%"
"08/28/2025","1.583","1.576","1.587","1.574","-0.19%"
"08/27/2025","1.586","1.584","1.589","1.574","0.19%"
"08/26/2025","1.583","1.578","1.587","1.573","0.44%"
"08/25/2025","1.576","1.562","1.579","1.562","0.25%"
"08/22/2025","1.572","1.574","1.580","1.568","0.26%"
"08/21/2025","1.568","1.558","1.574","1.553","0.13%"
"08/20/2025","1.566","1.545","1.569","1.543","0.97%"
"08/19/2025","1.551","1.535","1.559","1.532","1.51%"
"08/18/2025","1.528","1.547","1.552","1.528","0.66%"
"08/15/2025","1.518","1.524","1.530","1.510","0.60%"
"08/14/2025","1.509","1.462","1.510","1.457","2.58%"
"08/13/2025","1.471","1.459","1.481","1.459","1.24%"
"08/12/2025","1.453","1.450","1.458","1.448","0.69%"
"08/11/2025","1.443","1.443","1.443","1.443","-0.21%"
"08/08/2025","1.446","1.444","1.457","1.435","0.00%"
"08/07/2025","1.446","1.448","1.450","1.437","-0.34%"
"08/06/2025","1.451","1.427","1.454","1.427","1.90%"
"08/05/2025","1.424","1.444","1.449","1.418","-2.40%"
"08/04/2025","1.459","1.467","1.467","1.414","-3.44%"
"08/01/2025","1.511","1.517","1.519","1.483","0.20%"
"07/31/2025","1.508","1.517","1.536","1.508","-0.66%"
"07/30/2025","1.518","1.514","1.519","1.501","-0.13%"
"07/29/2025","1.520","1.528","1.534","1.512","-0.33%"
"07/28/2025","1.525","1.559","1.559","1.518","-2.31%"
"07/25/2025","1.561","1.554","1.571","1.544","0.00%"
"07/24/2025","1.561","1.551","1.565","1.543","0.71%"
"07/23/2025","1.550","1.479","1.557","1.477","6.68%"
"07/22/2025","1.453","1.480","1.492","1.445","-1.22%"
"07/21/2025","1.471","1.471","1.471","1.471","-0.14%"
"07/18/2025","1.473","1.510","1.510","1.469","-2.45%"
"07/17/2025","1.510","1.524","1.533","1.505","-0.72%"
"07/16/2025","1.521","1.538","1.550","1.515","-0.85%"
"07/15/2025","1.534","1.520","1.544","1.518","0.85%"
"07/14/2025","1.521","1.473","1.521","1.473","4.90%"
"07/11/2025","1.450","1.440","1.450","1.433","0.76%"
"07/10/2025","1.439","1.445","1.449","1.428","-0.42%"
"07/09/2025","1.445","1.438","1.446","1.426","1.12%"
"07/08/2025","1.429","1.404","1.434","1.402","2.14%"
"07/07/2025","1.399","1.383","1.404","1.383","2.72%"
"07/04/2025","1.362","1.405","1.411","1.384","-0.37%"
"07/03/2025","1.367","1.381","1.406","1.381","1.33%"
"07/02/2025","1.349","1.354","1.380","1.350","0.67%"
"07/01/2025","1.340","1.390","1.404","1.355","-2.12%"
"06/30/2025","1.369","1.399","1.416","1.396","0.15%"
"06/27/2025","1.367","1.382","1.396","1.379","1.03%"
"06/26/2025","1.353","1.366","1.384","1.358","1.05%"
"06/25/2025","1.339","1.389","1.390","1.360","-1.18%"
"06/24/2025","1.355","1.376","1.404","1.376","0.52%"
"06/23/2025","1.348","1.362","1.393","1.357","0.82%"
"06/20/2025","1.337","1.376","1.394","1.361","1.13%"
"06/19/2025","1.322","1.376","1.378","1.333","-3.15%"
"06/18/2025","1.365","1.393","1.394","1.368","-1.44%"
"06/17/2025","1.385","1.373","1.417","1.361","1.76%"
"06/16/2025","1.361","1.359","1.377","1.352","3.50%"
"06/13/2025","1.315","1.355","1.355","1.308","-3.94%"
"06/12/2025","1.369","1.384","1.388","1.372","-0.15%"
"06/11/2025","1.371","1.402","1.404","1.383","-1.37%"
"06/10/2025","1.390","1.392","1.414","1.387","0.14%"
"06/09/2025","1.388","1.391","1.413","1.391","1.54%"
"06/06/2025","1.367","1.392","1.411","1.373","-0.36%"
"06/05/2025","1.372","1.409","1.416","1.382","-2.83%"
"06/04/2025","1.412","1.405","1.430","1.405","1.73%"
"06/03/2025","1.388","1.439","1.444","1.397","-1.28%"
"06/02/2025","1.406","1.416","1.430","1.414","0.29%"
"05/30/2025","1.402","1.414","1.437","1.402","-1.27%"
"05/29/2025","1.420","1.442","1.457","1.420","-0.07%"
"05/28/2025","1.421","1.386","1.454","1.386","3.87%"
"05/27/2025","1.368","1.412","1.416","1.373","-2.77%"
"05/26/2025","1.407","1.453","1.458","1.423","-2.22%"
"05/25/2025","1.439","1.439","1.439","1.439","-0.07%"
"05/23/2025","1.440","1.475","1.485","1.455","-1.17%"
"05/22/2025","1.457","1.455","1.480","1.452","3.33%"
"05/21/2025","1.410","1.429","1.447","1.423","-0.35%"
"05/20/2025","1.415","1.405","1.448","1.381","1.95%"
"05/19/2025","1.388","1.388","1.406","1.384","0.95%"
"05/18/2025","1.375","1.375","1.375","1.375","1.33%"
"05/16/2025","1.357","1.390","1.392","1.369","-1.74%"
"05/15/2025","1.381","1.391","1.410","1.388","1.84%"
"05/14/2025","1.356","1.371","1.379","1.359","0.00%"
"05/13/2025","1.356","1.382","1.396","1.369","4.07%"
"05/12/2025","1.303","1.296","1.322","1.296","2.92%"
