"Date","Price","Open","High","Low","Change %"
"08/29/2025","3.738","3.747","3.747","3.738","-0.24%"
"08/28/2025","3.747","3.743","3.747","3.742","0.11%"
"08/27/2025","3.743","3.737","3.743","3.737","0.11%"
"08/26/2025","3.739","3.737","3.739","3.737","0.05%"
"08/25/2025","3.737","3.743","3.743","3.737","-0.16%"
"08/24/2025","3.743","3.743","3.743","3.743","-0.05%"
"08/21/2025","3.745","3.746","3.746","3.745","-0.03%"
"08/20/2025","3.746","3.745","3.746","3.745","0.05%"
"08/19/2025","3.744","3.739","3.744","3.739","0.19%"
"08/18/2025","3.737","3.732","3.743","3.732","0.13%"
"08/17/2025","3.732","3.732","3.732","3.732","-0.16%"
"08/15/2025","3.738","3.739","3.739","3.738","-0.03%"
"08/14/2025","3.739","3.746","3.746","3.739","-0.11%"
"08/13/2025","3.743","3.746","3.748","3.742","-0.08%"
"08/12/2025","3.746","3.743","3.748","3.743","0.08%"
"08/11/2025","3.743","3.742","3.743","3.742","-0.03%"
"08/08/2025","3.744","3.751","3.751","3.744","-0.19%"
"08/07/2025","3.751","3.761","3.761","3.751","-0.27%"
"08/06/2025","3.761","3.775","3.775","3.761","-0.34%"
"08/05/2025","3.774","3.774","3.776","3.774","0.00%"
"08/04/2025","3.774","3.771","3.774","3.771","0.05%"
"08/01/2025","3.772","3.771","3.772","3.767","0.13%"
"07/31/2025","3.767","3.764","3.767","3.764","0.03%"
"07/30/2025","3.766","3.763","3.766","3.763","0.16%"
"07/29/2025","3.760","3.760","3.760","3.760","0.00%"
"07/28/2025","3.760","3.761","3.761","3.760","-0.03%"
"07/27/2025","3.761","3.761","3.761","3.761","-0.05%"
"07/25/2025","3.763","3.763","3.763","3.763","0.00%"
"07/24/2025","3.763","3.761","3.763","3.759","0.05%"
"07/23/2025","3.761","3.761","3.761","3.761","-0.08%"
"07/22/2025","3.764","3.763","3.764","3.763","0.00%"
"07/21/2025","3.764","3.757","3.764","3.757","0.05%"
"07/18/2025","3.762","3.758","3.762","3.758","0.11%"
"07/17/2025","3.758","3.763","3.763","3.758","-0.16%"
"07/16/2025","3.764","3.761","3.764","3.761","0.03%"
"07/15/2025","3.763","3.764","3.764","3.762","0.16%"
"07/14/2025","3.757","3.757","3.758","3.757","-0.03%"
"07/13/2025","3.758","3.757","3.758","3.757","0.05%"
"07/11/2025","3.756","3.772","3.772","3.756","-0.42%"
"07/10/2025","3.772","3.773","3.773","3.772","-0.05%"
"07/09/2025","3.774","3.774","3.774","3.774","-0.03%"
"07/08/2025","3.775","3.776","3.776","3.774","-0.03%"
"07/07/2025","3.776","3.771","3.776","3.771","0.13%"
"07/06/2025","3.771","3.771","3.771","3.771","0.09%"
"07/04/2025","3.767","3.775","3.776","3.775","0.11%"
"07/03/2025","3.763","3.779","3.779","3.772","-0.20%"
"07/02/2025","3.771","3.776","3.779","3.776","0.00%"
"07/01/2025","3.770","3.783","3.783","3.779","-0.09%"
"06/30/2025","3.774","3.778","3.783","3.778","0.03%"
"06/26/2025","3.773","3.803","3.803","3.782","-0.47%"
"06/25/2025","3.791","3.803","3.803","3.797","-0.09%"
"06/24/2025","3.795","3.816","3.816","3.803","-0.34%"
"06/23/2025","3.807","3.814","3.817","3.814","-0.17%"
"06/22/2025","3.814","3.814","3.814","3.814","0.12%"
"06/20/2025","3.809","3.858","3.858","3.812","0.17%"
"06/19/2025","3.803","3.810","3.812","3.809","0.00%"
"06/18/2025","3.803","3.804","3.809","3.804","0.18%"
"06/17/2025","3.796","3.802","3.804","3.802","0.05%"
"06/16/2025","3.793","3.794","3.802","3.794","0.21%"
"06/13/2025","3.786","3.794","3.794","3.794","0.00%"
