"Date","Price","Open","High","Low","Change %"
"08/29/2025","1.918","1.908","1.928","1.888","0.52%"
"08/28/2025","1.908","1.902","1.922","1.867","0.32%"
"08/27/2025","1.902","1.940","1.940","1.875","-1.96%"
"08/26/2025","1.940","1.954","1.974","1.914","-0.72%"
"08/25/2025","1.954","1.995","1.995","1.924","-2.06%"
"08/22/2025","1.995","2.002","2.022","1.972","-0.40%"
"08/21/2025","2.003","2.019","2.032","1.989","-0.79%"
"08/20/2025","2.019","2.029","2.045","2.009","-0.49%"
"08/19/2025","2.029","1.969","2.049","1.969","3.20%"
"08/18/2025","1.966","1.973","1.993","1.959","-0.35%"
"08/15/2025","1.973","1.990","2.032","1.960","-0.85%"
"08/14/2025","1.990","2.015","2.015","1.985","-1.24%"
"08/13/2025","2.015","2.044","2.055","2.004","-1.47%"
"08/12/2025","2.045","2.065","2.085","2.033","-0.97%"
"08/11/2025","2.065","2.066","2.078","2.049","0.78%"
"08/08/2025","2.049","2.056","2.066","2.038","-0.39%"
"08/07/2025","2.057","2.121","2.121","2.039","-2.47%"
"08/06/2025","2.109","2.117","2.127","2.097","-0.38%"
"08/05/2025","2.117","2.101","2.151","2.101","-1.58%"
"08/04/2025","2.151","2.206","2.206","2.096","-2.49%"
"08/01/2025","2.206","2.184","2.224","2.184","1.01%"
"07/31/2025","2.184","2.187","2.217","2.167","-0.18%"
"07/30/2025","2.188","2.208","2.208","2.166","-0.91%"
"07/29/2025","2.208","2.184","2.224","2.184","1.24%"
"07/28/2025","2.181","2.192","2.192","2.172","-0.14%"
"07/25/2025","2.184","2.192","2.213","2.178","-0.64%"
"07/24/2025","2.198","2.201","2.214","2.184","-0.14%"
"07/23/2025","2.201","2.200","2.245","2.180","0.05%"
"07/22/2025","2.200","2.183","2.230","2.183","0.78%"
"07/21/2025","2.183","2.190","2.200","2.147","-0.32%"
"07/20/2025","2.190","2.190","2.190","2.190","-0.05%"
"07/18/2025","2.191","2.228","2.231","2.172","-1.88%"
"07/17/2025","2.233","2.235","2.265","2.205","-0.09%"
"07/16/2025","2.235","2.225","2.265","2.205","0.45%"
"07/15/2025","2.225","2.252","2.265","2.192","-1.20%"
"07/14/2025","2.252","2.256","2.286","2.236","-0.18%"
"07/11/2025","2.256","2.172","2.293","2.156","4.40%"
"07/10/2025","2.161","2.170","2.182","2.135","-0.46%"
"07/09/2025","2.171","2.135","2.174","2.135","1.69%"
"07/08/2025","2.135","2.102","2.142","2.102","1.57%"
"07/07/2025","2.102","2.126","2.126","2.063","-0.61%"
"07/04/2025","2.115","2.199","2.269","2.119","-3.31%"
"07/03/2025","2.188","2.257","2.257","2.185","-2.58%"
