"Date","Price","Open","High","Low","Change %"
"08/29/2025","10.750","10.775","10.800","10.750","-0.05%"
"08/28/2025","10.755","10.765","10.795","10.735","-0.19%"
"08/27/2025","10.775","10.743","10.800","10.743","0.23%"
"08/26/2025","10.750","10.745","10.805","10.745","0.19%"
"08/25/2025","10.730","10.695","10.751","10.690","-0.05%"
"08/22/2025","10.735","10.790","10.815","10.735","-0.56%"
"08/21/2025","10.795","10.755","10.795","10.750","0.42%"
"08/20/2025","10.750","10.820","10.820","10.750","-0.56%"
"08/19/2025","10.810","10.785","10.820","10.785","0.23%"
"08/18/2025","10.785","10.735","10.795","10.735","0.51%"
"08/15/2025","10.730","10.775","10.795","10.730","-0.42%"
"08/14/2025","10.775","10.765","10.780","10.725","0.05%"
"08/13/2025","10.770","10.810","10.810","10.760","-0.19%"
"08/12/2025","10.790","10.790","10.815","10.750","0.05%"
"08/11/2025","10.785","10.745","10.795","10.745","0.47%"
"08/08/2025","10.735","10.810","10.845","10.685","-0.60%"
"08/07/2025","10.800","10.795","10.825","10.765","0.14%"
"08/06/2025","10.785","10.775","10.830","10.770","0.05%"
"08/05/2025","10.780","10.705","10.800","10.680","0.65%"
"08/04/2025","10.710","10.679","10.715","10.655","0.61%"
"08/01/2025","10.645","10.725","10.755","10.645","-0.61%"
"07/31/2025","10.710","10.940","11.010","10.695","-2.15%"
"07/30/2025","10.945","10.945","10.960","10.900","0.00%"
"07/29/2025","10.945","10.965","11.000","10.945","-0.23%"
"07/28/2025","10.970","11.000","11.030","10.960","-0.41%"
"07/25/2025","11.015","10.995","11.040","10.985","0.36%"
"07/24/2025","10.975","10.990","11.035","10.950","-0.18%"
"07/23/2025","10.995","11.060","11.065","10.995","-0.50%"
"07/22/2025","11.050","11.160","11.235","11.035","-1.78%"
"07/21/2025","11.250","11.195","11.280","11.160","0.54%"
"07/18/2025","11.190","11.195","11.235","11.185","0.22%"
"07/17/2025","11.165","11.095","11.180","11.085","0.72%"
"07/16/2025","11.085","11.085","11.125","11.075","-0.05%"
"07/15/2025","11.090","11.160","11.160","11.045","-0.31%"
"07/14/2025","11.125","11.130","11.160","11.110","0.14%"
"07/11/2025","11.110","11.015","11.165","11.005","0.95%"
"07/10/2025","11.005","11.055","11.055","11.005","-0.36%"
"07/09/2025","11.045","11.080","11.135","11.040","-0.36%"
"07/08/2025","11.085","11.045","11.085","11.005","0.86%"
"07/07/2025","10.990","10.905","11.050","10.885","1.15%"
"07/04/2025","10.865","10.870","10.910","10.855","0.23%"
"07/03/2025","10.840","10.950","11.005","10.860","-0.78%"
"07/02/2025","10.925","10.955","10.975","10.905","-0.14%"
"07/01/2025","10.940","11.060","11.060","10.950","-0.95%"
"06/30/2025","11.045","11.035","11.070","11.015","-0.05%"
"06/27/2025","11.050","11.060","11.180","11.035","0.32%"
"06/26/2025","11.015","10.985","11.065","10.915","0.23%"
"06/25/2025","10.990","11.010","11.035","10.965","0.00%"
"06/24/2025","10.990","11.110","11.135","10.960","-1.17%"
"06/23/2025","11.120","11.090","11.175","11.090","0.27%"
"06/20/2025","11.090","11.190","11.190","11.090","-0.85%"
"06/19/2025","11.185","11.205","11.220","11.170","0.22%"
"06/18/2025","11.160","11.170","11.200","11.130","-0.04%"
"06/17/2025","11.165","11.245","11.260","11.090","-0.58%"
"06/16/2025","11.230","11.230","11.230","11.230","0.09%"
"06/13/2025","11.220","11.235","11.365","11.200","0.45%"
"06/12/2025","11.170","11.195","11.295","11.155","-0.04%"
"06/11/2025","11.175","11.157","11.220","11.155","0.40%"
"06/10/2025","11.130","11.178","11.178","11.100","-0.27%"
"06/09/2025","11.160","11.085","11.180","11.085","0.81%"
"06/06/2025","11.070","11.116","11.155","11.015","-0.27%"
"06/05/2025","11.100","11.130","11.190","11.095","-0.27%"
"06/04/2025","11.130","11.300","11.305","11.125","-1.37%"
"06/03/2025","11.285","11.400","11.400","11.275","-0.79%"
"06/02/2025","11.375","11.335","11.420","11.335","0.44%"
"05/30/2025","11.325","11.350","11.390","11.270","-0.18%"
"05/29/2025","11.345","11.560","11.580","11.360","-1.73%"
"05/28/2025","11.545","11.589","11.599","11.540","-0.17%"
"05/27/2025","11.565","11.645","11.655","11.565","-0.69%"
"05/26/2025","11.645","11.660","11.680","11.645","0.11%"
"05/23/2025","11.632","11.654","11.655","11.575","-0.07%"
"05/22/2025","11.640","11.575","11.680","11.575","0.56%"
"05/21/2025","11.575","11.610","11.625","11.560","-0.09%"
"05/20/2025","11.585","11.610","11.635","11.575","-0.22%"
"05/19/2025","11.610","11.555","11.652","11.555","0.48%"
"05/16/2025","11.555","11.550","11.585","11.480","-0.09%"
"05/15/2025","11.565","11.730","11.775","11.555","-1.41%"
"05/14/2025","11.730","11.700","11.760","11.655","0.26%"
"05/13/2025","11.700","11.660","11.725","11.625","0.47%"
"05/12/2025","11.645","11.689","11.690","11.590","-0.26%"
"05/09/2025","11.675","11.745","11.770","11.675","-0.47%"
"05/08/2025","11.730","11.810","11.840","11.715","-0.68%"
"05/07/2025","11.810","11.885","11.925","11.810","-0.63%"
"05/06/2025","11.885","11.760","11.915","11.760","1.02%"
"05/05/2025","11.765","11.720","11.790","11.720","0.38%"
"05/02/2025","11.720","11.665","11.750","11.650","0.51%"
"04/30/2025","11.660","11.650","11.685","11.645","0.13%"
"04/29/2025","11.645","11.635","11.685","11.635","-0.34%"
"04/25/2025","11.685","11.630","11.705","11.560","0.43%"
"04/24/2025","11.635","11.755","11.790","11.635","-1.06%"
"04/23/2025","11.760","11.840","11.900","11.765","-1.01%"
"04/22/2025","11.880","11.855","11.925","11.855","0.21%"
"04/17/2025","11.855","11.820","11.885","11.810","0.44%"
"04/16/2025","11.804","11.860","11.910","11.820","-0.64%"
"04/15/2025","11.880","11.889","11.900","11.815","-0.04%"
"04/14/2025","11.885","11.995","11.995","11.855","-0.92%"
"04/11/2025","11.995","11.850","12.020","11.850","0.97%"
"04/10/2025","11.880","11.885","11.905","11.810","-1.41%"
"04/09/2025","12.050","12.155","12.200","12.050","0.75%"
"04/08/2025","11.960","12.110","12.125","11.920","-1.24%"
"04/07/2025","12.110","12.075","12.290","12.075","0.04%"
"04/04/2025","12.105","11.775","12.155","11.775","2.98%"
"04/03/2025","11.755","11.705","11.995","11.705","0.09%"
"04/02/2025","11.745","11.560","11.760","11.560","2.17%"
"04/01/2025","11.495","11.510","11.560","11.430","0.01%"
"03/31/2025","11.494","11.615","11.615","11.510","-1.17%"
"03/28/2025","11.630","11.615","11.630","11.500","0.22%"
"03/27/2025","11.605","11.575","11.630","11.550","0.35%"
"03/26/2025","11.564","11.656","11.670","11.540","-0.65%"
"03/25/2025","11.640","11.630","11.690","11.620","0.52%"
"03/24/2025","11.580","11.475","11.610","11.475","1.05%"
"03/20/2025","11.460","11.465","11.555","11.460","-0.04%"
"03/19/2025","11.465","11.460","11.485","11.365","0.26%"
"03/18/2025","11.435","11.475","11.510","11.440","-0.17%"
