"Date","Price","Open","High","Low","Change %"
"08/29/2025","2.647","2.647","2.647","2.647","-0.49%"
"08/28/2025","2.660","2.660","2.660","2.660","0.38%"
"08/27/2025","2.650","2.650","2.650","2.650","-0.93%"
"08/26/2025","2.675","2.675","2.676","2.675","0.56%"
"08/25/2025","2.660","2.660","2.660","2.660","0.19%"
"08/22/2025","2.655","2.655","2.655","2.655","0.57%"
"08/21/2025","2.640","2.640","2.640","2.640","-0.19%"
"08/20/2025","2.645","2.645","2.645","2.645","-0.15%"
"08/19/2025","2.649","2.649","2.649","2.649","0.15%"
"08/18/2025","2.645","2.645","2.645","2.645","1.15%"
"08/14/2025","2.615","2.615","2.616","2.615","0.08%"
"08/13/2025","2.613","2.615","2.615","2.612","1.48%"
"08/12/2025","2.575","2.575","2.575","2.575","0.90%"
"08/11/2025","2.552","2.552","2.553","2.552","0.00%"
"08/08/2025","2.552","2.552","2.552","2.552","0.00%"
"08/07/2025","2.552","2.552","2.552","2.552","-0.78%"
"08/06/2025","2.572","2.572","2.572","2.572","0.78%"
"08/05/2025","2.552","2.552","2.552","2.552","-0.51%"
"08/04/2025","2.565","2.565","2.565","2.565","-0.54%"
"08/01/2025","2.579","2.579","2.579","2.579","0.47%"
"07/31/2025","2.567","2.567","2.567","2.567","-0.19%"
"07/30/2025","2.572","2.572","2.572","2.572","-0.77%"
"07/29/2025","2.592","2.592","2.592","2.592","0.00%"
"07/28/2025","2.592","2.592","2.592","2.592","-0.58%"
"07/25/2025","2.607","2.607","2.607","2.607","-0.19%"
"07/24/2025","2.612","2.612","2.612","2.612","0.66%"
"07/23/2025","2.595","2.595","2.595","2.595","0.00%"
"07/22/2025","2.595","2.595","2.595","2.595","-0.57%"
"07/21/2025","2.610","2.610","2.610","2.610","-0.46%"
"07/18/2025","2.622","2.622","2.622","2.622","-0.76%"
"07/17/2025","2.642","2.642","2.643","2.642","1.23%"
"07/16/2025","2.610","2.612","2.615","2.610","-0.38%"
"07/15/2025","2.620","2.620","2.620","2.620","1.95%"
"07/14/2025","2.570","2.570","2.570","2.570","-0.27%"
"07/11/2025","2.577","2.575","2.580","2.572","-1.87%"
"07/10/2025","2.626","2.627","2.627","2.626","-0.76%"
"07/09/2025","2.646","2.647","2.647","2.646","-0.30%"
"07/08/2025","2.654","2.655","2.655","2.654","0.00%"
"07/07/2025","2.654","2.655","2.655","2.653","0.68%"
"07/04/2025","2.636","2.637","2.637","2.636","0.76%"
"07/03/2025","2.616","2.617","2.617","2.616","-0.42%"
"07/02/2025","2.627","2.627","2.628","2.627","1.08%"
"07/01/2025","2.599","2.600","2.600","2.598","-2.07%"
"06/30/2025","2.654","2.655","2.655","2.653","0.76%"
"06/27/2025","2.634","2.635","2.635","2.634","0.88%"
"06/26/2025","2.611","2.611","2.611","2.611","-0.15%"
"06/25/2025","2.615","2.615","2.615","2.615","-1.13%"
"06/24/2025","2.645","2.645","2.645","2.645","-0.97%"
"06/23/2025","2.671","2.672","2.672","2.671","0.79%"
"06/20/2025","2.650","2.650","2.650","2.650","-0.08%"
"06/19/2025","2.652","2.652","2.652","2.652","0.57%"
"06/18/2025","2.637","2.637","2.637","2.637","-0.26%"
"06/17/2025","2.644","2.645","2.645","2.643","-0.60%"
"06/16/2025","2.660","2.660","2.660","2.660","0.57%"
"06/13/2025","2.645","2.645","2.645","2.644","-0.34%"
"06/12/2025","2.654","2.654","2.654","2.654","0.00%"
"06/11/2025","2.654","2.652","2.654","2.651","-0.15%"
"06/10/2025","2.658","2.660","2.660","2.657","0.30%"
"06/09/2025","2.650","2.650","2.651","2.650","-0.34%"
"06/05/2025","2.659","2.660","2.661","2.659","-0.71%"
"06/04/2025","2.678","2.677","2.678","2.677","4.81%"
"06/02/2025","2.555","2.557","2.557","2.554","1.07%"
"05/30/2025","2.528","2.527","2.529","2.527","0.32%"
"05/29/2025","2.520","2.520","2.520","2.518","2.02%"
"05/28/2025","2.470","2.470","2.470","2.470","-0.68%"
