"Date","Price","Open","High","Low","Change %"
"08/29/2025","2.226","2.206","2.227","2.204","1.04%"
"08/28/2025","2.203","2.199","2.220","2.189","-0.36%"
"08/27/2025","2.211","2.218","2.224","2.196","-0.27%"
"08/26/2025","2.217","2.227","2.239","2.215","-1.86%"
"08/25/2025","2.259","2.227","2.265","2.227","2.08%"
"08/22/2025","2.213","2.248","2.260","2.208","-1.69%"
"08/21/2025","2.251","2.203","2.262","2.202","2.09%"
"08/20/2025","2.205","2.221","2.226","2.199","-1.52%"
"08/19/2025","2.239","2.240","2.247","2.227","-0.13%"
"08/18/2025","2.242","2.256","2.256","2.224","-0.75%"
"08/15/2025","2.259","2.204","2.259","2.203","1.85%"
"08/14/2025","2.218","2.184","2.218","2.175","1.28%"
"08/13/2025","2.190","2.226","2.228","2.185","-2.06%"
"08/12/2025","2.236","2.232","2.256","2.221","0.22%"
"08/11/2025","2.231","2.217","2.236","2.206","0.13%"
"08/08/2025","2.228","2.195","2.232","2.190","1.97%"
"08/07/2025","2.185","2.190","2.206","2.174","-0.73%"
"08/06/2025","2.201","2.190","2.209","2.179","1.01%"
"08/05/2025","2.179","2.176","2.192","2.162","0.09%"
"08/04/2025","2.177","2.208","2.226","2.173","-1.94%"
"08/01/2025","2.220","2.276","2.281","2.183","-1.64%"
"07/31/2025","2.257","2.249","2.271","2.249","-0.18%"
"07/30/2025","2.261","2.242","2.262","2.217","1.34%"
"07/29/2025","2.231","2.207","2.231","2.205","0.59%"
"07/28/2025","2.218","2.245","2.245","2.199","-1.51%"
"07/25/2025","2.252","2.255","2.290","2.240","1.12%"
"07/24/2025","2.227","2.164","2.227","2.156","5.05%"
"07/23/2025","2.120","2.131","2.138","2.104","-0.05%"
"07/22/2025","2.121","2.134","2.142","2.116","-0.47%"
"07/21/2025","2.131","2.158","2.158","2.125","-2.61%"
"07/18/2025","2.188","2.194","2.201","2.181","0.55%"
"07/17/2025","2.176","2.181","2.188","2.162","0.18%"
"07/16/2025","2.172","2.205","2.206","2.168","-1.32%"
"07/15/2025","2.201","2.202","2.206","2.172","-1.03%"
"07/14/2025","2.224","2.215","2.230","2.207","-0.54%"
