"Date","Price","Open","High","Low","Change %"
"08/29/2025","3.400","3.364","3.406","3.360","1.06%"
"08/28/2025","3.364","3.367","3.401","3.343","-0.52%"
"08/27/2025","3.382","3.393","3.400","3.336","0.13%"
"08/26/2025","3.377","3.380","3.404","3.371","-0.57%"
"08/25/2025","3.397","3.394","3.421","3.389","1.00%"
"08/22/2025","3.363","3.387","3.400","3.345","-0.95%"
"08/21/2025","3.395","3.346","3.398","3.342","1.19%"
"08/20/2025","3.355","3.382","3.387","3.346","-1.04%"
"08/19/2025","3.391","3.421","3.427","3.376","-0.49%"
"08/18/2025","3.407","3.393","3.417","3.354","-0.05%"
"08/15/2025","3.409","3.330","3.411","3.322","2.57%"
"08/14/2025","3.324","3.268","3.326","3.252","1.24%"
"08/13/2025","3.283","3.319","3.321","3.273","-1.67%"
"08/12/2025","3.339","3.283","3.353","3.275","1.82%"
"08/11/2025","3.279","3.256","3.284","3.229","0.48%"
"08/08/2025","3.263","3.222","3.273","3.211","1.66%"
"08/07/2025","3.210","3.243","3.250","3.204","-0.90%"
"08/06/2025","3.239","3.219","3.262","3.212","1.11%"
"08/05/2025","3.204","3.204","3.231","3.173","-0.09%"
"08/04/2025","3.206","3.283","3.310","3.201","-2.07%"
"08/01/2025","3.274","3.300","3.318","3.221","0.25%"
"07/31/2025","3.266","3.259","3.289","3.250","-0.69%"
"07/30/2025","3.289","3.276","3.299","3.249","0.53%"
"07/29/2025","3.271","3.268","3.293","3.262","0.13%"
"07/28/2025","3.267","3.271","3.294","3.239","-0.14%"
"07/25/2025","3.272","3.276","3.319","3.268","0.54%"
"07/24/2025","3.254","3.243","3.277","3.224","2.14%"
"07/23/2025","3.186","3.200","3.210","3.175","0.53%"
"07/22/2025","3.169","3.211","3.218","3.160","-0.76%"
"07/21/2025","3.193","3.246","3.248","3.186","-2.61%"
"07/18/2025","3.279","3.264","3.289","3.259","0.77%"
"07/17/2025","3.254","3.287","3.298","3.238","-0.43%"
"07/16/2025","3.268","3.288","3.295","3.251","-0.28%"
"07/15/2025","3.277","3.270","3.284","3.228","-0.43%"
"07/14/2025","3.291","3.276","3.304","3.273","0.49%"
"07/11/2025","3.275","3.253","3.286","3.240","0.65%"
"07/10/2025","3.254","3.204","3.259","3.193","1.36%"
"07/09/2025","3.210","3.208","3.224","3.192","-0.35%"
"07/08/2025","3.222","3.202","3.247","3.199","1.60%"
"07/07/2025","3.171","3.139","3.177","3.125","1.34%"
"07/04/2025","3.129","3.108","3.137","3.093","0.05%"
"07/03/2025","3.127","3.154","3.161","3.119","-0.87%"
"07/02/2025","3.155","3.120","3.182","3.116","1.52%"
"07/01/2025","3.107","3.124","3.126","3.081","-1.45%"
"06/30/2025","3.153","3.131","3.161","3.104","0.89%"
"06/27/2025","3.125","3.118","3.160","3.115","0.19%"
"06/26/2025","3.120","3.092","3.147","3.077","0.47%"
"06/25/2025","3.105","3.075","3.128","3.049","0.58%"
"06/24/2025","3.087","3.055","3.133","3.049","1.60%"
"06/23/2025","3.039","3.095","3.098","3.019","-0.47%"
"06/20/2025","3.053","3.032","3.086","3.025","-0.22%"
"06/19/2025","3.060","3.062","3.081","3.040","0.96%"
"06/18/2025","3.031","3.085","3.096","3.028","-1.19%"
"06/17/2025","3.067","3.089","3.105","3.034","0.35%"
"06/16/2025","3.057","3.109","3.135","3.045","-0.54%"
"06/13/2025","3.073","3.000","3.084","2.990","2.09%"
"06/12/2025","3.010","3.027","3.048","2.999","-1.86%"
"06/11/2025","3.067","3.050","3.084","3.042","0.95%"
"06/10/2025","3.039","3.065","3.068","3.026","-1.28%"
"06/09/2025","3.078","3.082","3.122","3.031","-0.02%"
"06/06/2025","3.079","3.091","3.099","3.055","-0.90%"
"06/05/2025","3.107","3.061","3.120","3.009","1.37%"
"06/04/2025","3.065","3.069","3.094","3.055","-0.11%"
"06/03/2025","3.068","3.036","3.078","3.023","-0.04%"
"06/02/2025","3.069","3.061","3.101","3.047","1.14%"
"05/30/2025","3.035","3.035","3.081","3.025","0.08%"
"05/29/2025","3.032","3.107","3.125","3.039","-1.52%"
"05/28/2025","3.079","3.077","3.093","3.055","0.61%"
"05/27/2025","3.061","3.075","3.088","3.050","-1.18%"
"05/26/2025","3.098","3.171","3.177","3.101","-1.52%"
"05/23/2025","3.145","3.168","3.197","3.110","-1.55%"
"05/22/2025","3.195","3.212","3.234","3.199","0.20%"
"05/21/2025","3.189","3.170","3.215","3.158","1.56%"
"05/20/2025","3.139","3.114","3.177","3.086","1.05%"
