"Date","Price","Open","High","Low","Change %"
"08/29/2025","3.835","3.833","3.838","3.813","0.13%"
"08/28/2025","3.830","3.863","3.863","3.815","-0.91%"
"08/27/2025","3.865","3.858","3.865","3.848","0.05%"
"08/26/2025","3.863","3.868","3.888","3.848","0.00%"
"08/25/2025","3.863","3.883","3.883","3.828","-0.64%"
"08/22/2025","3.888","3.865","3.910","3.865","0.39%"
"08/21/2025","3.873","3.893","3.899","3.863","-0.64%"
"08/20/2025","3.898","4.015","4.033","3.893","-3.11%"
"08/19/2025","4.023","3.978","4.028","3.978","1.21%"
"08/18/2025","3.975","3.955","3.985","3.955","0.56%"
"08/15/2025","3.953","3.928","3.955","3.928","0.59%"
"08/14/2025","3.930","3.948","3.948","3.910","-0.38%"
"08/13/2025","3.945","3.955","3.955","3.943","-0.25%"
"08/12/2025","3.955","3.963","3.970","3.955","-0.13%"
"08/11/2025","3.960","3.953","3.968","3.953","0.18%"
"08/08/2025","3.953","3.960","3.965","3.950","-0.13%"
"08/07/2025","3.958","3.986","3.988","3.953","-0.68%"
"08/06/2025","3.985","3.947","3.988","3.947","0.89%"
"08/05/2025","3.950","3.998","3.998","3.948","-1.32%"
"08/04/2025","4.003","4.053","4.053","3.973","-1.28%"
"08/01/2025","4.055","4.044","4.060","4.044","0.17%"
"07/31/2025","4.048","4.055","4.065","4.030","-0.05%"
"07/30/2025","4.050","4.090","4.090","4.045","-0.93%"
"07/29/2025","4.088","4.103","4.108","4.085","-0.41%"
"07/28/2025","4.105","4.113","4.128","4.095","-0.19%"
"07/25/2025","4.113","4.102","4.120","4.085","0.37%"
"07/24/2025","4.098","4.074","4.113","4.073","0.74%"
"07/23/2025","4.068","4.083","4.083","4.050","-0.61%"
"07/22/2025","4.093","4.085","4.093","4.070","-0.05%"
"07/21/2025","4.095","4.120","4.132","4.073","-0.85%"
"07/18/2025","4.130","4.098","4.138","4.093","0.54%"
"07/17/2025","4.108","4.115","4.115","4.080","-0.17%"
"07/16/2025","4.115","4.100","4.151","4.100","0.24%"
"07/15/2025","4.105","4.090","4.115","4.083","0.61%"
"07/14/2025","4.080","4.065","4.090","4.063","0.12%"
"07/11/2025","4.075","4.060","4.088","4.060","0.42%"
"07/10/2025","4.058","4.115","4.115","4.055","-1.70%"
"07/09/2025","4.128","4.085","4.150","4.085","0.93%"
"07/08/2025","4.090","4.090","4.095","4.083","1.24%"
"07/07/2025","4.040","4.080","4.080","4.045","-0.32%"
"07/04/2025","4.053","4.075","4.115","4.075","-0.05%"
"07/03/2025","4.055","4.063","4.113","4.058","0.55%"
"07/02/2025","4.033","4.048","4.070","4.048","0.25%"
