"Date","Price","Open","High","Low","Change %"
"08/29/2025","5.595","5.572","5.609","5.569","0.34%"
"08/28/2025","5.576","5.583","5.607","5.556","-0.36%"
"08/27/2025","5.596","5.616","5.635","5.575","-0.09%"
"08/26/2025","5.601","5.564","5.634","5.564","0.97%"
"08/22/2025","5.547","5.581","5.614","5.538","-0.61%"
"08/21/2025","5.581","5.534","5.592","5.531","0.85%"
"08/20/2025","5.534","5.577","5.610","5.529","-0.90%"
"08/19/2025","5.584","5.620","5.633","5.577","-0.37%"
"08/18/2025","5.605","5.555","5.626","5.519","0.59%"
"08/15/2025","5.572","5.489","5.572","5.485","1.46%"
"08/14/2025","5.492","5.431","5.498","5.407","0.83%"
"08/13/2025","5.447","5.454","5.478","5.419","-0.31%"
"08/12/2025","5.464","5.411","5.484","5.411","1.32%"
"08/11/2025","5.393","5.417","5.420","5.370","-0.74%"
"08/08/2025","5.433","5.365","5.434","5.365","1.31%"
"08/07/2025","5.363","5.345","5.411","5.344","0.19%"
"08/06/2025","5.353","5.343","5.389","5.332","0.26%"
"08/05/2025","5.339","5.335","5.353","5.309","0.19%"
"08/04/2025","5.329","5.365","5.386","5.322","-0.43%"
"08/01/2025","5.352","5.402","5.454","5.327","-0.58%"
"07/31/2025","5.383","5.387","5.407","5.361","-0.61%"
"07/30/2025","5.416","5.434","5.434","5.383","-0.26%"
"07/29/2025","5.430","5.462","5.494","5.413","-0.49%"
"07/28/2025","5.457","5.451","5.470","5.411","0.35%"
"07/25/2025","5.438","5.476","5.495","5.436","-0.44%"
"07/24/2025","5.462","5.500","5.521","5.455","-0.62%"
"07/23/2025","5.496","5.443","5.497","5.438","1.70%"
"07/22/2025","5.404","5.457","5.475","5.394","-0.52%"
"07/21/2025","5.432","5.501","5.501","5.426","-1.43%"
"07/18/2025","5.511","5.507","5.525","5.481","0.18%"
"07/17/2025","5.501","5.498","5.505","5.462","0.57%"
"07/16/2025","5.470","5.490","5.509","5.435","0.11%"
"07/15/2025","5.464","5.431","5.480","5.381","0.68%"
"07/14/2025","5.427","5.429","5.460","5.418","-0.31%"
"07/11/2025","5.444","5.417","5.454","5.397","0.65%"
