"Date","Price","Open","High","Low","Change %"
"08/29/2025","3.852","3.872","3.882","3.839","-0.39%"
"08/28/2025","3.867","3.867","3.945","3.854","0.55%"
"08/27/2025","3.846","3.875","3.894","3.838","-0.62%"
"08/26/2025","3.870","3.900","3.919","3.865","-0.77%"
"08/25/2025","3.900","3.895","3.919","3.892","0.54%"
"08/22/2025","3.879","3.973","3.986","3.865","-2.17%"
"08/21/2025","3.965","3.917","3.973","3.917","1.35%"
"08/20/2025","3.912","3.931","3.941","3.893","-0.20%"
"08/19/2025","3.920","3.947","3.961","3.918","-0.43%"
"08/18/2025","3.937","3.943","3.945","3.921","0.28%"
"08/15/2025","3.926","3.925","3.940","3.894","0.38%"
"08/14/2025","3.911","3.866","3.925","3.847","1.37%"
"08/13/2025","3.858","3.909","3.928","3.855","-1.03%"
"08/12/2025","3.898","3.950","3.957","3.890","-0.76%"
"08/11/2025","3.928","3.939","3.955","3.920","0.05%"
"08/08/2025","3.926","3.927","3.939","3.918","0.18%"
"08/07/2025","3.919","3.908","3.927","3.900","0.49%"
"08/06/2025","3.900","3.943","3.949","3.898","-0.54%"
"08/05/2025","3.921","3.850","3.938","3.844","1.79%"
"08/04/2025","3.852","3.882","3.901","3.836","-1.10%"
"08/01/2025","3.895","4.121","4.136","3.853","-5.48%"
"07/31/2025","4.121","4.154","4.188","4.105","-0.60%"
"07/30/2025","4.146","4.090","4.149","4.076","1.44%"
"07/29/2025","4.087","4.120","4.122","4.082","-0.34%"
"07/28/2025","4.101","4.117","4.136","4.098","0.00%"
"07/25/2025","4.101","4.116","4.136","4.096","-0.22%"
"07/24/2025","4.110","4.113","4.118","4.091","0.64%"
"07/23/2025","4.084","4.087","4.097","4.068","0.52%"
"07/22/2025","4.063","4.090","4.103","4.057","-0.27%"
"07/21/2025","4.074","4.084","4.125","4.066","-0.07%"
"07/18/2025","4.077","4.097","4.131","4.069","-0.68%"
"07/17/2025","4.105","4.100","4.129","4.080","0.74%"
"07/16/2025","4.075","4.159","4.170","4.057","-1.07%"
"07/15/2025","4.119","4.119","4.135","4.081","0.86%"
"07/14/2025","4.084","4.095","4.130","4.073","-0.22%"
"07/11/2025","4.093","4.080","4.114","4.079","0.52%"
"07/10/2025","4.072","4.072","4.091","4.064","0.00%"
"07/09/2025","4.072","4.126","4.140","4.070","-1.09%"
"07/08/2025","4.117","4.112","4.141","4.096","0.78%"
"07/07/2025","4.085","4.080","4.128","4.051","0.19%"
"07/03/2025","4.077","4.021","4.110","3.976","2.01%"
"07/02/2025","3.997","4.007","4.047","3.961","-0.04%"
"07/01/2025","3.999","3.980","4.017","3.961","0.80%"
"06/30/2025","3.967","3.997","4.020","3.970","-0.14%"
"06/27/2025","3.972","3.981","4.034","3.973","0.25%"
"06/26/2025","3.963","4.011","4.046","3.965","-0.55%"
"06/25/2025","3.984","4.033","4.043","3.990","-0.81%"
"06/24/2025","4.017","4.033","4.076","4.001","-0.04%"
"06/23/2025","4.019","4.085","4.103","4.007","-1.20%"
"06/20/2025","4.067","4.107","4.120","4.069","-1.36%"
"06/19/2025","4.123","4.363","4.363","4.123","0.92%"
"06/18/2025","4.086","4.122","4.153","4.078","-0.38%"
"06/17/2025","4.101","4.111","4.135","4.087","0.06%"
"06/16/2025","4.099","4.106","4.128","4.098","0.62%"
"06/13/2025","4.074","4.104","4.118","4.055","0.31%"
"06/12/2025","4.061","4.086","4.099","4.032","-0.27%"
"06/11/2025","4.072","4.223","4.223","4.078","-1.18%"
"06/10/2025","4.121","4.160","4.179","4.117","-0.43%"
"06/09/2025","4.139","4.155","4.203","4.141","-0.14%"
"06/06/2025","4.145","4.108","4.161","4.083","1.86%"
"06/05/2025","4.069","4.084","4.103","4.057","0.02%"
"06/04/2025","4.068","4.149","4.154","4.073","-1.28%"
"06/03/2025","4.121","4.168","4.168","4.114","-0.04%"
"06/02/2025","4.122","4.139","4.141","4.122","0.32%"
"05/30/2025","4.109","4.169","4.182","4.109","-0.54%"
"05/29/2025","4.132","4.181","4.226","4.135","-0.65%"
"05/28/2025","4.159","4.197","4.200","4.146","0.45%"
"05/27/2025","4.141","4.157","4.219","4.141","-0.33%"
"05/26/2025","4.154","4.154","4.154","4.154","0.46%"
"05/23/2025","4.136","4.156","4.160","4.084","0.20%"
"05/22/2025","4.128","4.156","4.259","4.113","0.09%"
"05/21/2025","4.124","4.132","4.175","4.129","0.25%"
"05/20/2025","4.113","4.165","4.165","4.111","-0.07%"
"05/19/2025","4.116","4.144","4.187","4.119","-0.20%"
"05/16/2025","4.125","4.123","4.133","4.087","0.76%"
"05/15/2025","4.094","4.140","4.164","4.096","-1.02%"
"05/14/2025","4.136","4.150","4.150","4.105","0.45%"
"05/13/2025","4.117","4.150","4.150","4.114","0.00%"
"05/12/2025","4.117","4.069","4.166","4.069","1.45%"
"05/09/2025","4.059","4.068","4.104","4.048","-0.09%"
"05/08/2025","4.062","4.023","4.089","4.020","1.60%"
"05/07/2025","3.998","4.025","4.047","3.985","0.09%"
"05/06/2025","3.995","4.042","4.071","3.988","-0.71%"
"05/05/2025","4.023","4.002","4.047","3.994","0.53%"
"05/02/2025","4.002","3.941","4.031","3.927","1.92%"
"05/01/2025","3.927","3.861","3.952","3.829","1.55%"
"04/30/2025","3.866","3.926","3.960","3.856","-0.83%"
"04/29/2025","3.899","3.931","3.998","3.894","-0.59%"
"04/28/2025","3.922","3.951","4.036","3.921","-0.72%"
"04/25/2025","3.951","3.992","4.045","3.956","-0.50%"
"04/24/2025","3.970","4.035","4.059","3.976","-1.05%"
"04/23/2025","4.012","3.992","4.032","3.987","0.94%"
"04/22/2025","3.975","3.993","4.025","3.966","0.60%"
"04/21/2025","3.951","3.998","4.038","3.934","-0.58%"
"04/17/2025","3.974","3.970","4.006","3.957","0.68%"
"04/16/2025","3.947","3.986","4.021","3.957","-1.56%"
"04/15/2025","4.010","4.018","4.077","4.004","0.33%"
"04/14/2025","3.997","4.107","4.134","3.994","-0.81%"
"04/11/2025","4.029","4.009","4.085","3.946","1.46%"
"04/10/2025","3.971","4.057","4.114","3.961","-1.41%"
"04/09/2025","4.028","3.825","4.100","3.825","4.66%"
"04/08/2025","3.849","3.916","4.012","3.846","-1.65%"
"04/07/2025","3.913","3.881","3.943","3.726","2.16%"
"04/04/2025","3.831","3.925","3.928","3.694","-2.04%"
"04/03/2025","3.910","4.035","4.038","3.904","-2.52%"
"04/02/2025","4.011","4.025","4.078","4.006","0.00%"
"04/01/2025","4.012","4.047","4.063","3.998","-0.37%"
"03/31/2025","4.027","4.058","4.058","3.985","-0.21%"
"03/28/2025","4.035","4.121","4.126","4.031","-1.53%"
"03/27/2025","4.098","4.108","4.140","4.091","-0.11%"
"03/26/2025","4.102","4.116","4.122","4.097","0.26%"
"03/25/2025","4.092","4.130","4.146","4.089","-0.27%"
"03/24/2025","4.103","4.047","4.111","4.047","1.73%"
"03/21/2025","4.033","4.069","4.090","4.033","-0.66%"
"03/20/2025","4.060","4.096","4.126","4.050","-0.70%"
"03/19/2025","4.089","4.121","4.164","4.089","-0.92%"
"03/18/2025","4.126","4.101","4.179","4.101","0.41%"
"03/17/2025","4.109","4.085","4.139","4.082","0.78%"
"03/14/2025","4.077","4.060","4.115","4.045","1.07%"
"03/13/2025","4.034","4.087","4.124","4.033","-0.57%"
"03/12/2025","4.057","4.044","4.108","4.020","0.66%"
"03/11/2025","4.031","3.951","4.042","3.951","1.10%"
"03/10/2025","3.987","4.061","4.106","3.991","-1.63%"
"03/07/2025","4.053","4.046","4.074","3.994","0.84%"
"03/06/2025","4.019","4.078","4.116","4.016","-1.29%"
"03/05/2025","4.072","4.106","4.111","4.009","0.16%"
"03/04/2025","4.065","4.076","4.084","3.985","0.39%"
"03/03/2025","4.050","4.106","4.144","4.052","-0.73%"
"02/28/2025","4.079","4.137","4.174","4.082","-0.87%"
"02/27/2025","4.115","4.140","4.185","4.123","0.00%"
"02/26/2025","4.116","4.138","4.199","4.113","0.00%"
"02/25/2025","4.116","4.170","4.181","4.103","-0.79%"
"02/24/2025","4.149","4.178","4.248","4.151","-0.20%"
"02/21/2025","4.157","4.207","4.241","4.152","-0.99%"
"02/20/2025","4.199","4.234","4.253","4.193","-0.33%"
"02/19/2025","4.213","4.253","4.266","4.218","-0.44%"
"02/18/2025","4.231","4.246","4.267","4.233","0.28%"
"02/14/2025","4.219","4.283","4.313","4.219","-0.98%"
"02/13/2025","4.261","4.302","4.323","4.264","-0.51%"
"02/12/2025","4.283","4.270","4.318","4.248","0.94%"
"02/11/2025","4.243","4.256","4.289","4.248","0.24%"
"02/10/2025","4.233","4.257","4.303","4.227","0.02%"
"02/07/2025","4.232","4.202","4.244","4.195","1.20%"
"02/06/2025","4.182","4.194","4.204","4.177","0.35%"
"02/05/2025","4.167","4.202","4.221","4.159","-0.27%"
"02/04/2025","4.178","4.224","4.240","4.181","-0.36%"
"02/03/2025","4.193","4.219","4.240","4.184","0.93%"
"01/31/2025","4.155","4.188","4.203","4.157","-0.09%"
"01/30/2025","4.158","4.180","4.202","4.156","-0.07%"
"01/29/2025","4.161","4.146","4.194","4.135","0.77%"
"01/28/2025","4.130","4.159","4.173","4.138","-0.04%"
"01/27/2025","4.131","4.184","4.184","4.124","-0.79%"
"01/24/2025","4.164","4.185","4.204","4.160","-0.31%"
"01/23/2025","4.177","4.210","4.226","4.180","-0.46%"
"01/22/2025","4.196","4.234","4.237","4.196","0.22%"
"01/21/2025","4.187","4.190","4.233","4.188","-0.46%"
"01/17/2025","4.206","4.197","4.220","4.179","0.87%"
"01/16/2025","4.170","4.189","4.227","4.175","-0.11%"
"01/15/2025","4.174","4.230","4.251","4.176","-0.77%"
"01/14/2025","4.207","4.228","4.257","4.208","-0.36%"
"01/13/2025","4.222","4.246","4.290","4.228","0.00%"
"01/10/2025","4.223","4.173","4.247","4.166","1.63%"
"01/09/2025","4.155","4.197","4.216","4.159","-0.40%"
"01/08/2025","4.172","4.208","4.238","4.170","-0.27%"
"01/07/2025","4.183","4.182","4.206","4.165","0.48%"
"01/06/2025","4.163","4.201","4.211","4.163","-0.20%"
"01/03/2025","4.171","4.155","4.179","4.155","0.43%"
"01/02/2025","4.153","4.245","4.245","4.135","0.12%"
"12/31/2024","4.148","4.175","4.218","4.135","-0.28%"
"12/30/2024","4.160","4.203","4.216","4.163","-0.72%"
"12/27/2024","4.190","4.245","4.253","4.198","-0.70%"
"12/26/2024","4.219","4.251","4.323","4.229","-0.30%"
"12/24/2024","4.232","4.248","4.272","4.240","0.22%"
"12/23/2024","4.222","4.263","4.306","4.231","-0.67%"
"12/20/2024","4.251","4.272","4.301","4.247","-0.18%"
"12/19/2024","4.259","4.313","4.332","4.261","-0.76%"
"12/18/2024","4.291","4.260","4.316","4.232","1.04%"
"12/17/2024","4.247","4.260","4.294","4.249","0.15%"
"12/16/2024","4.241","4.279","4.287","4.233","0.05%"
"12/13/2024","4.239","4.229","4.255","4.220","0.36%"
