"Date","Price","Open","High","Low","Change %"
"08/29/2025","4.918","4.877","4.934","4.877","0.94%"
"08/28/2025","4.872","4.915","4.920","4.872","-0.83%"
"08/27/2025","4.913","4.923","4.960","4.906","0.10%"
"08/26/2025","4.908","4.890","4.945","4.883","0.39%"
"08/25/2025","4.889","4.889","4.915","4.881","0.12%"
"08/22/2025","4.883","4.922","4.935","4.861","-0.83%"
"08/21/2025","4.924","4.899","4.946","4.893","0.41%"
"08/20/2025","4.904","4.912","4.925","4.883","0.04%"
"08/19/2025","4.902","4.937","4.948","4.898","-0.81%"
"08/18/2025","4.942","4.919","4.954","4.887","0.35%"
"08/15/2025","4.925","4.876","4.934","4.854","0.86%"
"08/14/2025","4.883","4.829","4.884","4.793","1.14%"
"08/13/2025","4.828","4.885","4.889","4.818","-1.17%"
"08/12/2025","4.885","4.857","4.906","4.825","0.91%"
"08/11/2025","4.841","4.854","4.854","4.817","-0.27%"
"08/08/2025","4.854","4.821","4.861","4.813","0.79%"
"08/07/2025","4.816","4.817","4.831","4.782","0.10%"
"08/06/2025","4.811","4.788","4.876","4.785","0.88%"
"08/05/2025","4.769","4.783","4.815","4.766","-0.54%"
"08/04/2025","4.795","4.821","4.863","4.786","-0.25%"
"08/01/2025","4.807","4.904","4.966","4.801","-1.60%"
"07/31/2025","4.885","4.892","4.905","4.858","-0.57%"
"07/30/2025","4.913","4.863","4.918","4.853","0.92%"
"07/29/2025","4.868","4.955","4.968","4.857","-1.95%"
"07/28/2025","4.965","4.940","4.966","4.906","0.73%"
"07/25/2025","4.929","4.931","4.979","4.920","-0.40%"
"07/24/2025","4.949","4.942","4.990","4.934","0.00%"
"07/23/2025","4.949","4.929","4.965","4.924","0.94%"
"07/22/2025","4.903","4.941","4.967","4.892","-0.69%"
"07/21/2025","4.937","4.996","4.996","4.910","-1.24%"
"07/18/2025","4.999","5.001","5.012","4.981","-0.30%"
"07/17/2025","5.014","5.022","5.066","4.980","-0.02%"
"07/16/2025","5.015","5.028","5.078","4.968","-0.06%"
"07/15/2025","5.018","4.972","5.025","4.933","0.90%"
"07/14/2025","4.973","4.968","4.992","4.949","0.32%"
"07/11/2025","4.957","4.872","4.966","4.855","1.95%"
"07/10/2025","4.862","4.871","4.899","4.855","-0.27%"
"07/09/2025","4.875","4.924","4.950","4.867","-1.44%"
"07/08/2025","4.946","4.918","4.974","4.907","0.61%"
"07/07/2025","4.916","4.855","4.937","4.847","1.13%"
"07/03/2025","4.861","4.798","4.890","4.778","1.19%"
"07/02/2025","4.804","4.765","4.847","4.764","0.87%"
"07/01/2025","4.762","4.776","4.806","4.733","-0.32%"
"06/30/2025","4.778","4.843","4.849","4.773","-1.12%"
"06/27/2025","4.832","4.800","4.856","4.790","0.62%"
"06/26/2025","4.802","4.828","4.854","4.795","-0.60%"
"06/25/2025","4.831","4.832","4.879","4.813","-0.07%"
"06/24/2025","4.835","4.882","4.923","4.822","-0.77%"
"06/23/2025","4.872","4.886","4.923","4.829","-0.34%"
"06/20/2025","4.889","4.887","4.945","4.865","0.05%"
"06/19/2025","4.887","4.886","4.887","4.886","-0.07%"
"06/18/2025","4.890","4.897","4.916","4.850","0.01%"
"06/17/2025","4.890","4.952","4.960","4.879","-1.39%"
"06/16/2025","4.959","4.916","4.965","4.894","1.21%"
"06/13/2025","4.899","4.808","4.941","4.800","1.14%"
"06/12/2025","4.844","4.910","4.918","4.829","-1.41%"
"06/11/2025","4.914","4.927","4.970","4.892","-0.34%"
"06/10/2025","4.931","4.941","4.954","4.903","-0.19%"
"06/09/2025","4.940","4.983","4.992","4.940","-0.50%"
"06/06/2025","4.964","4.887","4.971","4.860","1.74%"
"06/05/2025","4.880","4.882","4.901","4.832","0.00%"
"06/04/2025","4.880","4.973","4.995","4.869","-2.07%"
"06/03/2025","4.983","4.976","4.997","4.931","0.35%"
"06/02/2025","4.965","4.954","5.003","4.948","0.85%"
"05/30/2025","4.923","4.922","4.951","4.902","-0.01%"
"05/29/2025","4.924","4.986","5.033","4.915","-0.96%"
"05/28/2025","4.972","4.953","5.009","4.940","0.46%"
"05/27/2025","4.949","5.030","5.031","4.931","-1.63%"
"05/26/2025","5.031","5.032","5.032","5.030","0.02%"
"05/23/2025","5.030","5.049","5.057","4.978","-0.19%"
"05/22/2025","5.039","5.108","5.161","5.038","-0.87%"
"05/21/2025","5.084","4.965","5.098","4.959","2.42%"
"05/20/2025","4.963","4.904","4.999","4.890","1.19%"
"05/19/2025","4.905","4.960","5.037","4.902","0.04%"
"05/16/2025","4.903","4.901","4.961","4.851","0.24%"
"05/15/2025","4.891","4.981","5.000","4.887","-1.68%"
"05/14/2025","4.975","4.916","4.980","4.894","1.34%"
"05/13/2025","4.909","4.901","4.953","4.885","0.11%"
"05/12/2025","4.904","4.854","4.912","4.830","1.41%"
"05/09/2025","4.835","4.840","4.874","4.818","-0.21%"
"05/08/2025","4.845","4.782","4.862","4.770","1.57%"
"05/07/2025","4.770","4.815","4.816","4.759","-0.62%"
"05/06/2025","4.800","4.862","4.875","4.798","-0.76%"
"05/05/2025","4.837","4.813","4.939","4.784","1.01%"
"05/02/2025","4.788","4.716","4.803","4.697","1.45%"
"05/01/2025","4.720","4.700","4.745","4.650","0.77%"
"04/30/2025","4.684","4.634","4.721","4.603","0.80%"
"04/29/2025","4.647","4.686","4.721","4.635","-0.73%"
"04/28/2025","4.681","4.701","4.759","4.678","-0.83%"
"04/25/2025","4.720","4.779","4.789","4.703","-1.14%"
"04/24/2025","4.774","4.817","4.820","4.761","-1.06%"
"04/23/2025","4.825","4.821","4.842","4.713","-1.11%"
"04/22/2025","4.880","4.902","4.930","4.849","-0.55%"
"04/21/2025","4.906","4.840","4.923","4.835","2.05%"
"04/17/2025","4.808","4.751","4.829","4.742","1.41%"
"04/16/2025","4.741","4.788","4.808","4.735","-0.93%"
"04/15/2025","4.786","4.801","4.848","4.758","-0.55%"
"04/14/2025","4.812","4.895","4.899","4.790","-1.30%"
"04/11/2025","4.875","4.933","4.991","4.816","0.13%"
"04/10/2025","4.869","4.721","4.878","4.662","2.89%"
"04/09/2025","4.732","4.800","5.023","4.701","-0.59%"
"04/08/2025","4.760","4.630","4.769","4.563","2.78%"
"04/07/2025","4.631","4.332","4.658","4.326","4.87%"
"04/04/2025","4.416","4.483","4.486","4.331","-1.33%"
"04/03/2025","4.476","4.440","4.498","4.431","-0.43%"
"04/02/2025","4.495","4.555","4.582","4.466","-0.50%"
"04/01/2025","4.518","4.579","4.584","4.499","-1.30%"
"03/31/2025","4.577","4.600","4.627","4.562","-1.15%"
"03/28/2025","4.630","4.721","4.722","4.627","-1.90%"
"03/27/2025","4.720","4.692","4.755","4.692","0.38%"
"03/26/2025","4.702","4.672","4.709","4.664","0.87%"
"03/25/2025","4.662","4.662","4.703","4.639","-0.08%"
"03/24/2025","4.666","4.604","4.668","4.602","1.62%"
"03/21/2025","4.591","4.557","4.599","4.529","0.71%"
"03/20/2025","4.559","4.543","4.561","4.490","0.13%"
"03/19/2025","4.553","4.593","4.651","4.551","-0.73%"
"03/18/2025","4.587","4.592","4.642","4.569","-0.09%"
"03/17/2025","4.591","4.598","4.626","4.556","-0.74%"
"03/14/2025","4.625","4.598","4.647","4.594","0.74%"
"03/13/2025","4.591","4.638","4.671","4.580","-0.91%"
"03/12/2025","4.634","4.598","4.642","4.563","0.82%"
"03/11/2025","4.596","4.532","4.613","4.491","1.13%"
"03/10/2025","4.545","4.573","4.597","4.514","-1.22%"
"03/07/2025","4.601","4.580","4.623","4.531","0.48%"
